controller_type,controller_name,is_example_controller,controller_module,field_path,parent_field,field_scope,data_type,required,default,allowed_values_or_format,what_it_does,defined_in,source
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,id,,top_level,string,yes,required,,Unique identifier for this controller instance. Other strategy components use it to route executor actions and reports.,ControllerConfigBase,hummingbot/strategy_v2/controllers/controller_base.py:68
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,controller_name,,top_level,string,no,ai_livestream,,Controller module name. This must match the controller implementation and is used when loading the controller from the YAML file.,AILivestreamControllerConfig,controllers/directional_trading/ai_livestream.py:17
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,controller_type,,top_level,string,no,directional_trading,"generic, directional_trading, market_making","Controller family used for grouping/loading the controller. In this repo the main families are generic, directional_trading, and market_making.",DirectionalTradingControllerConfigBase,hummingbot/strategy_v2/controllers/directional_trading_controller_base.py:24
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,total_amount_quote,,top_level,decimal,no,100,,"Total budget in quote currency that the controller uses when sizing positions, grids, or quote-side order allocations.",ControllerConfigBase,hummingbot/strategy_v2/controllers/controller_base.py:71
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,manual_kill_switch,,top_level,boolean,no,false,,"Manual per-controller stop flag. In the `v2_with_controllers` script, setting this to true stops the controller and issues StopExecutor actions for its executors; clearing it allows restart.",ControllerConfigBase,hummingbot/strategy_v2/controllers/controller_base.py:79
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,initial_positions,,top_level,list[InitialPositionConfig],no,[],,List of pre-existing positions that the controller should adopt and manage at startup instead of assuming a flat book.,ControllerConfigBase,hummingbot/strategy_v2/controllers/controller_base.py:80
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,initial_positions[].connector_name,initial_positions,nested,string,no,,,Connector on which the pre-existing position exists.,InitialPositionConfig,hummingbot/strategy_v2/models/position_config.py:15
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,initial_positions[].trading_pair,initial_positions,nested,string,no,,,Trading pair of the pre-existing position.,InitialPositionConfig,hummingbot/strategy_v2/models/position_config.py:16
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,initial_positions[].amount,initial_positions,nested,decimal,no,,,Base-asset amount currently held in that initial position.,InitialPositionConfig,hummingbot/strategy_v2/models/position_config.py:17
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,initial_positions[].side,initial_positions,nested,"enum string (BUY, SELL)",no,,"BUY, SELL","Direction of the initial position (`BUY` for long/base inventory, `SELL` for short inventory).",InitialPositionConfig,hummingbot/strategy_v2/models/position_config.py:18
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,connector_name,,top_level,string,no,binance_perpetual,,Exchange/connector name that the controller uses for trading or market data.,DirectionalTradingControllerConfigBase,hummingbot/strategy_v2/controllers/directional_trading_controller_base.py:25
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,trading_pair,,top_level,string,no,WLD-USDT,,"Market symbol the controller trades or monitors, in `BASE-QUOTE` form.",DirectionalTradingControllerConfigBase,hummingbot/strategy_v2/controllers/directional_trading_controller_base.py:31
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,max_executors_per_side,,top_level,integer,no,2,,Maximum number of concurrent executors the directional controller may keep open on each side (long/buy or short/sell).,DirectionalTradingControllerConfigBase,hummingbot/strategy_v2/controllers/directional_trading_controller_base.py:37
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,cooldown_time,,top_level,integer,no,60 * 5,,"Minimum wait time between signal/executor creations or rebalance actions, depending on the controller.",DirectionalTradingControllerConfigBase,hummingbot/strategy_v2/controllers/directional_trading_controller_base.py:43
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,leverage,,top_level,integer,no,1,,Leverage applied when the connector supports perpetual or margin trading.,DirectionalTradingControllerConfigBase,hummingbot/strategy_v2/controllers/directional_trading_controller_base.py:49
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,position_mode,,top_level,"enum string (HEDGE, ONEWAY)",no,HEDGE,"HEDGE, ONEWAY",Perpetual position mode. Typical values are `HEDGE` and `ONEWAY`.,DirectionalTradingControllerConfigBase,hummingbot/strategy_v2/controllers/directional_trading_controller_base.py:55
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,stop_loss,,top_level,decimal or null,no,0.03,,Relative loss threshold that closes an executor/position when exceeded.,DirectionalTradingControllerConfigBase,hummingbot/strategy_v2/controllers/directional_trading_controller_base.py:60
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,take_profit,,top_level,decimal or null,no,0.02,,Relative profit threshold that closes an executor/position when reached.,DirectionalTradingControllerConfigBase,hummingbot/strategy_v2/controllers/directional_trading_controller_base.py:66
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,time_limit,,top_level,integer or null,no,60 * 45,,Maximum time in seconds that an executor/position may remain open before it is closed.,DirectionalTradingControllerConfigBase,hummingbot/strategy_v2/controllers/directional_trading_controller_base.py:72
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,take_profit_order_type,,top_level,integer (OrderType enum: 1=MARKET 2=LIMIT 3=LIMIT_MAKER),no,2,,Integer enum for the order type used when placing the take-profit exit order. Values: 1=MARKET 2=LIMIT 3=LIMIT_MAKER.,DirectionalTradingControllerConfigBase,hummingbot/strategy_v2/controllers/directional_trading_controller_base.py:78
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,trailing_stop,,top_level,TrailingStop or null,no,null,,"Trailing-stop configuration. In prompts this is entered as `activation_price,trailing_delta`; in YAML it can serialize as an object.",DirectionalTradingControllerConfigBase,hummingbot/strategy_v2/controllers/directional_trading_controller_base.py:84
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,trailing_stop.activation_price,trailing_stop,nested,decimal,no,,,Profit distance/trigger at which the trailing stop becomes active.,TrailingStop,hummingbot/strategy_v2/executors/position_executor/data_types.py:13
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,trailing_stop.trailing_delta,trailing_stop,nested,decimal,no,,,Distance the stop trails behind price once the trailing stop has activated.,TrailingStop,hummingbot/strategy_v2/executors/position_executor/data_types.py:14
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,long_threshold,,top_level,float,no,0.5,,Minimum long probability required for the AI livestream controller to emit a buy/long signal.,AILivestreamControllerConfig,controllers/directional_trading/ai_livestream.py:18
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,short_threshold,,top_level,float,no,0.5,,Minimum short probability required for the AI livestream controller to emit a sell/short signal.,AILivestreamControllerConfig,controllers/directional_trading/ai_livestream.py:19
directional_trading,ai_livestream,no,controllers/directional_trading/ai_livestream.py,topic,,top_level,string,no,hbot/predictions,,MQTT topic prefix from which the controller reads ML predictions. The strategy appends the normalized trading pair and `/ML_SIGNALS`.,AILivestreamControllerConfig,controllers/directional_trading/ai_livestream.py:20
directional_trading,bollinger_v1,no,controllers/directional_trading/bollinger_v1.py,id,,top_level,string,yes,required,,Unique identifier for this controller instance. Other strategy components use it to route executor actions and reports.,ControllerConfigBase,hummingbot/strategy_v2/controllers/controller_base.py:68
directional_trading,bollinger_v1,no,controllers/directional_trading/bollinger_v1.py,controller_name,,top_level,string,no,bollinger_v1,,Controller module name. This must match the controller implementation and is used when loading the controller from the YAML file.,BollingerV1ControllerConfig,controllers/directional_trading/bollinger_v1.py:15
directional_trading,bollinger_v1,no,controllers/directional_trading/bollinger_v1.py,controller_type,,top_level,string,no,directional_trading,"generic, directional_trading, market_making","Controller family used for grouping/loading the controller. In this repo the main families are generic, directional_trading, and market_making.",DirectionalTradingControllerConfigBase,hummingbot/strategy_v2/controllers/directional_trading_controller_base.py:24
directional_trading,bollinger_v1,no,controllers/directional_trading/bollinger_v1.py,total_amount_quote,,top_level,decimal,no,100,,"Total budget in quote currency that the controller uses when sizing positions, grids, or quote-side order allocations.",ControllerConfigBase,hummingbot/strategy_v2/controllers/controller_base.py:71
directional_trading,bollinger_v1,no,controllers/directional_trading/bollinger_v1.py,manual_kill_switch,,top_level,boolean,no,false,,"Manual per-controller stop flag. In the `v2_with_controllers` script, setting this to true stops the controller and issues StopExecutor actions for its executors; clearing it allows restart.",ControllerConfigBase,hummingbot/strategy_v2/controllers/controller_base.py:79
directional_trading,bollinger_v1,no,controllers/directional_trading/bollinger_v1.py,initial_positions,,top_level,list[InitialPositionConfig],no,[],,List of pre-existing positions that the controller should adopt and manage at startup instead of assuming a flat book.,ControllerConfigBase,hummingbot/strategy_v2/controllers/controller_base.py:80
directional_trading,bollinger_v1,no,controllers/directional_trading/bollinger_v1.py,initial_positions[].connector_name,initial_positions,nested,string,no,,,Connector on which the pre-existing position exists.,InitialPositionConfig,hummingbot/strategy_v2/models/position_config.py:15
directional_trading,bollinger_v1,no,controllers/directional_trading/bollinger_v1.py,initial_positions[].trading_pair,initial_positions,nested,string,no,,,Trading pair of the pre-existing position.,InitialPositionConfig,hummingbot/strategy_v2/models/position_config.py:16
directional_trading,bollinger_v1,no,controllers/directional_trading/bollinger_v1.py,initial_positions[].amount,initial_positions,nested,decimal,no,,,Base-asset amount currently held in that initial position.,InitialPositionConfig,hummingbot/strategy_v2/models/position_config.py:17
directional_trading,bollinger_v1,no,controllers/directional_trading/bollinger_v1.py,initial_positions[].side,initial_positions,nested,"enum string (BUY, SELL)",no,,"BUY, SELL","Direction of the initial position (`BUY` for long/base inventory, `SELL` for short inventory).",InitialPositionConfig,hummingbot/strategy_v2/models/position_config.py:18
directional_trading,bollinger_v1,no,controllers/directional_trading/bollinger_v1.py,connector_name,,top_level,string,no,binance_perpetual,,Exchange/connector name that the controller uses for trading or market data.,DirectionalTradingControllerConfigBase,hummingbot/strategy_v2/controllers/directional_trading_controller_base.py:25
directional_trading,bollinger_v1,no,controllers/directional_trading/bollinger_v1.py,trading_pair,,top_level,string,no,WLD-USDT,,"Market symbol the controller trades or monitors, in `BASE-QUOTE` form.",DirectionalTradingControllerConfigBase,hummingbot/strategy_v2/controllers/directional_trading_controller_base.py:31
directional_trading,bollinger_v1,no,controllers/directional_trading/bollinger_v1.py,max_executors_per_side,,top_level,integer,no,2,,Maximum number of concurrent executors the directional controller may keep open on each side (long/buy or short/sell).,DirectionalTradingControllerConfigBase,hummingbot/strategy_v2/controllers/directional_trading_controller_base.py:37
directional_trading,bollinger_v1,no,controllers/directional_trading/bollinger_v1.py,cooldown_time,,top_level,integer,no,60 * 5,,"Minimum wait time between signal/executor creations or rebalance actions, depending on the controller.",DirectionalTradingControllerConfigBase,hummingbot/strategy_v2/controllers/directional_trading_controller_base.py:43
directional_trading,bollinger_v1,no,controllers/directional_trading/bollinger_v1.py,leverage,,top_level,integer,no,1,,Leverage applied when the connector supports perpetual or margin trading.,DirectionalTradingControllerConfigBase,hummingbot/strategy_v2/controllers/directional_trading_controller_base.py:49
directional_trading,bollinger_v1,no,controllers/directional_trading/bollinger_v1.py,position_mode,,top_level,"enum string (HEDGE, ONEWAY)",no,HEDGE,"HEDGE, ONEWAY",Perpetual position mode. Typical values are `HEDGE` and `ONEWAY`.,DirectionalTradingControllerConfigBase,hummingbot/strategy_v2/controllers/directional_trading_controller_base.py:55
directional_trading,bollinger_v1,no,controllers/directional_trading/bollinger_v1.py,stop_loss,,top_level,decimal or null,no,0.03,,Relative loss threshold that closes an executor/position when exceeded.,DirectionalTradingControllerConfigBase,hummingbot/strategy_v2/controllers/directional_trading_controller_base.py:60
directional_trading,bollinger_v1,no,controllers/directional_trading/bollinger_v1.py,take_profit,,top_level,decimal or null,no,0.02,,Relative profit threshold that closes an executor/position when reached.,DirectionalTradingControllerConfigBase,hummingbot/strategy_v2/controllers/directional_trading_controller_base.py:66
directional_trading,bollinger_v1,no,controllers/directional_trading/bollinger_v1.py,time_limit,,top_level,integer or null,no,60 * 45,,Maximum time in seconds that an executor/position may remain open before it is closed.,DirectionalTradingControllerConfigBase,hummingbot/strategy_v2/controllers/directional_trading_controller_base.py:72
directional_trading,bollinger_v1,no,controllers/directional_trading/bollinger_v1.py,take_profit_order_type,,top_level,integer (OrderType enum: 1=MARKET 2=LIMIT 3=LIMIT_MAKER),no,2,,Integer enum for the order type used when placing the take-profit exit order. Values: 1=MARKET 2=LIMIT 3=LIMIT_MAKER.,DirectionalTradingControllerConfigBase,hummingbot/strategy_v2/controllers/directional_trading_controller_base.py:78
directional_trading,bollinger_v1,no,controllers/directional_trading/bollinger_v1.py,trailing_stop,,top_level,TrailingStop or null,no,null,,"Trailing-stop configuration. In prompts this is entered as `activation_price,trailing_delta`; in YAML it can serialize as an object.",DirectionalTradingControllerConfigBase,hummingbot/strategy_v2/controllers/directional_trading_controller_base.py:84
directional_trading,bollinger_v1,no,controllers/directional_trading/bollinger_v1.py,trailing_stop.activation_price,trailing_stop,nested,decimal,no,,,Profit distance/trigger at which the trailing stop becomes active.,TrailingStop,hummingbot/strategy_v2/executors/position_executor/data_types.py:13
directional_trading,bollinger_v1,no,controllers/directional_trading/bollinger_v1.py,trailing_stop.trailing_delta,trailing_stop,nested,decimal,no,,,Distance the stop trails behind price once the trailing stop has activated.,TrailingStop,hummingbot/strategy_v2/executors/position_executor/data_types.py:14
