connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,permissions_spot,last_price,quote_volume_24h,volume_base_24h,bid_price,bid_quantity,ask_price,ask_quantity,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,maker_fee_estimate,taker_fee_estimate,rule_estimate_source,raw_trade_side_type,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score
mexc,USDCUSDT,USDC-USDT,USDC,USDT,True,1,True,1.0004,35992826.8378,35977803.69,1.0004,4685835.4,1.0005,3662244.96,0.999550202408806,3664076.08248,0.0001,1.0,1.0,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9983072365636902,0.9925910245554614,1.0,99.7216736248895
mexc,XRPUSDT,XRP-USDT,XRP,USDT,True,1,True,1.3284,65082703.6703,48716816.11,1.3289,1631.11,1.329,1468.52,0.7524737574776251,1951.6630799999998,0.0001,0.1,0.1,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9987304274227676,0.9949195596951735,0.9885690093141406,99.57454268691438
mexc,BNBUSDT,BNB-USDT,BNB,USDT,True,1,True,610.77,24072307.71,39229.4014,610.89,1.719,610.9,6.722,0.1636942518761965,1050.1199100000001,0.01,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9974608548455354,0.9983065198983911,0.985182049110923,99.52165099618269
mexc,USD1USDT,USD1-USDT,USD1,USDT,True,1,True,1.0001,13926162.8171,13926057.42,1.0001,877721.89,1.0002,863278.02,0.9998500224965152,863450.675604,0.0001,0.0,0.0,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9949217096910706,0.9919559695173582,0.9995766299745978,99.5111258704348
mexc,GOLD(XAUT)USDT,GOLD(XAUT)-USDT,GOLD(XAUT),USDT,True,1,True,4485.5,35292409.4,7866.36228,4485.5,1.25691,4485.6,0.15944,0.22293810123700283,715.184064,0.1,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9978840457046128,0.997883149872989,0.980948348856901,99.44966823771645
mexc,GOLD(PAXG)USDT,GOLD(PAXG)-USDT,GOLD(PAXG),USDT,True,1,True,4490.79,8923776.42,1993.53361,4490.79,1.00016,4490.8,3.80816,0.022267772187815917,4491.5085264,0.01,1e-06,1e-06,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9915361828184511,0.9991532599491956,0.9932260795935648,99.37784314561601
mexc,LINKUSDT,LINK-USDT,LINK,USDT,True,1,True,8.529,14052188.565,1628097.33,8.53,8541.51,8.531,212.4,1.1722642283585043,1811.9844000000003,0.001,0.01,0.01,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9953449005501481,0.9868755292125317,0.9881456392887383,99.17877054634621
mexc,ETHUSDT,ETH-USDT,ETH,USDT,True,1,True,1990.57,581185060.91,289792.4185,1990.91,2.16954,1990.94,0.2,0.15068372741300004,398.18800000000005,0.01,0.0001,0.0001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9995768091409225,0.9987298899237934,0.9593564775613886,99.13210130207335
mexc,BTCUSDT,BTC-USDT,BTC,USDT,True,1,True,66253.97,1111126114.61,16646.50374904,66282.88,0.00612278,66286.57,0.51713738,0.5566893428315993,405.83549200640005,0.01,1e-06,1e-06,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,1.0,0.9966130397967824,0.9606265876375952,99.12785774767147
mexc,LTCUSDT,LTC-USDT,LTC,USDT,True,1,True,53.58,7347432.53,136036.1499,53.6,136.8016,53.61,87.7664,1.8654976214901615,4705.156704,0.01,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9898434193821414,0.9784081287044877,0.9944961896697714,98.7915150770254
mexc,USDEUSDT,USDE-USDT,USDE,USDT,True,1,True,0.9998,3556881.3634,3557670.31,0.9998,896454.05,0.9999,246360.65,1.0001500225032653,246336.013935,0.0001,0.0,0.0,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9818027930596699,0.9908975444538527,0.9983065198983911,98.73772262759599
mexc,WLFIUSDT,WLFI-USDT,WLFI,USDT,True,1,True,0.09695,5389514.44885,55245868.1,0.09698,228401.04,0.097,96778.39,2.062068254459854,9387.50383,1e-05,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9877274650867541,0.9771380186282811,0.9953429297205758,98.66031963989002
mexc,TRXUSDT,TRX-USDT,TRX,USDT,True,1,True,0.3103,11541192.7237,37000534.91,0.3102,31190.52,0.3103,94369.27,3.2232070910570343,9675.299304,0.0001,1.0,1.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9936521371138384,0.9602032176121931,0.995766299745978,98.57127397648551
