connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,permissions_spot,last_price,quote_volume_24h,volume_base_24h,bid_price,bid_quantity,ask_price,ask_quantity,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,maker_fee_estimate,taker_fee_estimate,rule_estimate_source,raw_trade_side_type,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score
mexc,BTCUSDT,BTC-USDT,BTC,USDT,True,1,True,67641.93,537766790.81,8074.25654074,67646.47,0.49509349,67646.48,0.05160897,0.0014782736269349304,3491.1651569255996,0.01,1e-06,1e-06,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,1.0,0.9995744680851064,0.9936170212765958,99.86170212765958
mexc,ETHUSDT,ETH-USDT,ETH,USDT,True,1,True,2053.44,314789133.67,157217.26181,2053.18,18.62619,2053.19,2.01566,0.04870481715100334,4138.5329554,0.01,0.0001,0.0001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9995773457311918,0.997872340425532,0.9948936170212765,99.82143486627939
mexc,USDCUSDT,USDC-USDT,USDC,USDT,True,1,True,1.0006,15354142.9856,15345657.05,1.0005,3632097.17,1.0006,3912527.53,0.9994503023336063,3633913.218585,0.0001,1.0,1.0,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.996196111580727,0.9914893617021276,1.0,99.57802017949318
mexc,GOLD(XAUT)USDT,GOLD(XAUT)-USDT,GOLD(XAUT),USDT,True,1,True,4509.9,27868478.8,6223.09606,4509.9,0.31816,4510.0,3.32714,0.22173194824856995,1434.869784,0.1,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9983093829247676,0.9970212765957447,0.9851063829787234,99.53467563533032
mexc,USD1USDT,USD1-USDT,USD1,USDT,True,1,True,1.0001,6586208.7455,6585201.54,1.0,951564.41,1.0001,991097.25,0.999950002499765,951564.41,0.0001,0.0,0.0,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9923922231614539,0.99,0.9995744680851064,99.32306163558209
mexc,BTCUSDC,BTC-USDC,BTC,USDC,True,1,True,67605.23,20683848.83,310.57166,67596.84,0.045258,67613.89,0.04549,2.5219891942012165,3059.29778472,0.01,1e-06,1e-06,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9978867286559594,0.971063829787234,0.9931914893617021,99.02419560799267
mexc,USDEUSDT,USDE-USDT,USDE,USDT,True,1,True,0.9996,3212832.2657,3213794.78,0.9996,872551.8,0.9997,762647.85,1.0003501225427798,762419.055645,0.0001,0.0,0.0,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9860524091293322,0.9889361702127659,0.9991489361702127,98.93926548083668
mexc,DOGEUSDT,DOGE-USDT,DOGE,USDT,True,1,True,0.0932,19410498.58531,213510012.05,0.0932,58218.4,0.09322,9034.93,2.145692522260728,842.2361746,1e-05,1.0,1.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9974640743871513,0.9765957446808511,0.9765957446808511,98.80733260193163
mexc,TRXUSDT,TRX-USDT,TRX,USDT,True,1,True,0.322,11085981.2161,34559232.92,0.3221,28983.52,0.3222,43137.85,3.104144032282756,9335.591792,0.0001,1.0,1.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9945054945054945,0.9638297872340426,0.9974468085106383,98.74248304886603
mexc,HYPEUSDT,HYPE-USDT,HYPE,USDT,True,1,True,38.53,7344987.67,189924.91,38.51,40.06,38.52,151.34,2.596391016488411,1542.7106,0.01,0.0,0.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9928148774302621,0.9706382978723405,0.9880851063829788,98.63247783313251
mexc,GOLD(PAXG)USDT,GOLD(PAXG)-USDT,GOLD(PAXG),USDT,True,1,True,4519.75,6583486.86,1467.26068,4519.83,1.97626,4519.84,0.0848,0.022124701455292682,383.28243200000003,0.01,1e-06,1e-06,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9919695688926459,0.9982978723404256,0.9540425531914893,98.59662416143595
mexc,XRPUSDT,XRP-USDT,XRP,USDT,True,1,True,1.3534,56904690.7289,42730096.8,1.3533,4478.07,1.3534,234.65,0.7389071563157276,317.57531,0.0001,0.1,0.1,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9987320371935756,0.9948936170212765,0.9391489361702128,98.58558119458283
