trading_pair,screen_score,microstructure_screen_score,strategy_score,strategy_signal_count,strategy_hit_rate,strategy_mean_barrier_return_net_bps,strategy_profit_factor_proxy,strategy_ambiguous_rate,strategy_current_signal,strategy_recommended_side,quote_volume_24h,spread_bps,top_of_book_quote,sym_depth_quote_10bps
ALGO-USDC,77.76471789292525,86.18666967487681,65.13179021999791,1,1.0,-25.71544028507539,inf,0.0,0,long,48741.8173,73.6196319018409,1552.342624,0.0
ARB-USDT,77.70454741796624,85.75086266390615,65.6350745490564,2,1.0,-45.21385734274048,inf,0.0,0,long,52796.3534,67.2645739910302,169.25937700000003,0.0
AAVE-USDT,77.57969072018987,86.71310146619071,63.879574601188615,4,0.5,-75.8659371468805,1.2239848122835502,0.0,0,long,80001.2507,78.3990096967187,385.46752000000004,0.0
ETC-USDT,75.85046797146462,82.55389398295577,65.79532895422791,1,1.0,-24.436435195249558,inf,0.0,0,long,45108.6453,61.8429189857748,0.18538000000000002,0.0
LTC-USDT,75.25014822220835,81.3638083618671,66.07965801272026,2,1.0,-43.03915923871337,inf,0.0,0,long,617564.1784,59.77956286194662,0.032021999999999995,0.0
SAL-USDT,74.90825072144077,78.09930015454391,70.12167657178605,1,1.0,22.201653134361877,inf,0.0,0,long,40521.7725,0.5858402413647328,0.6392186879,0.6392186879
SCASH-USDT,74.048514075304,76.89210344702336,69.78313001772494,7,1.0,-46.16037278099357,inf,0.0,0,long,10587.6557,84.73795707838336,5.277956146399999,0.0
ZEC-USDT,73.71100646875149,76.41049995513079,69.66176623918257,2,1.0,-22.856242498801294,inf,0.0,0,short,40142.8417,84.67798842734213,0.7450103,0.0
ARB-USDC,73.06349006058026,77.16362269680347,66.91329110624544,3,0.6666666666666666,-71.16506303996928,3.003307607496987,0.0,0,long,14883.924,78.51934941110402,0.120825,0.0
ADA-USDT,73.0306110992213,78.68156623442665,64.5541783964133,3,0.3333333333333333,-58.40387151445821,1.500760911500537,0.0,0,long,8187.7693,61.112242819311525,0.176184,0.0
EQPAY-USDT,72.22445950502411,66.73714786652181,80.4554269627776,5,0.8,-21.777601842544787,18.20479549588529,0.0,0,long,289.0709,49.67915545435669,1.1464039648000002,0.0
SHIB-USDT,72.0353854765158,76.05153826595473,66.01115629235741,1,1.0,-24.409002877513803,inf,0.0,0,long,203637.8067,41.79728317659371,0.17380236000000002,0.0
UNI-USDT,71.37263470687981,85.67226036104755,49.923196225628196,2,0.5,-129.82114867551064,0.14376366322009573,0.0,0,long,284033.6324,68.2391336596948,0.16795000000000002,0.0
BTC-USDC,70.78982692107184,88.23719806763285,44.618770201230326,1,0.0,-78.15578502507307,0.0,0.0,0,long,613262.3715,64.01481837924831,0.5977943099999999,0.0
CAKE-USDC,70.20815731853875,76.8910500889906,60.183818162861,1,1.0,-51.10350014338381,inf,0.0,0,short,7767.782,73.26007326007331,0.1507,0.0
PEP-DOGE,69.99541780058945,73.41807460561175,64.861432593056,3,1.0,-58.577483015244084,inf,0.0,0,short,44893.1121,84.9994202633012,1.214925228318,0.0
XLM-USDT,69.8130454005908,79.14164641105658,55.82014388489208,1,0.0,-6.036824630243826,,0.0,0,long,121129.1698,6.036824630243826,0.18216000000000002,0.18216000000000002
PEP-USDC,69.77354229873633,73.48223059590244,64.21050985298717,1,1.0,-30.615304079915816,inf,0.0,0,long,34040.7854,84.42056792018555,1.516211986122,0.0
ARRR-USDT,69.64074506095159,68.2066496158876,71.79188822854758,1,1.0,113.5409784006108,inf,0.0,0,long,267642.6011,86.4590215993892,0.2762713316,0.0
PEP-USDT,69.06617619923574,67.22866853071802,71.8224377020123,1,1.0,82.23113756956087,inf,0.0,0,long,45445.3763,117.76886243043913,1.613544564843,0.0
