connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,last_price,quote_volume_24h,volume_base_24h,bid_price,ask_price,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,rule_estimate_source,last_trade_at_ms,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score
nonkyc,BNB/USDT,BNB-USDT,BNB,USDT,True,active,612.04,1019119.1378,1674.0726,611.67,612.76,17.80420277190255,,0.01,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774834373286.0,False,0.9855072463768116,0.9619883040935673,0.0,78.25260615306382
nonkyc,XMR/USDT,XMR-USDT,XMR,USDT,True,active,329.9,1183591.1829,3612.422,329.59,330.59,30.294768093550246,,0.01,0.001,,,market.getlist.priceDecimals/quantityDecimals,1774834387866.0,False,0.9884057971014493,0.9152046783625731,0.0,77.24243579964406
nonkyc,SHIB/USDT,SHIB-USDT,SHIB,USDT,True,active,5.881e-06,141628.4372,24503036751.0,5.88e-06,5.882e-06,3.4007821799016327,,1e-09,1.0,,,market.getlist.priceDecimals/quantityDecimals,1774834414682.0,False,0.9478260869565217,0.9883040935672515,0.0,76.83803712179
nonkyc,NKYC/USDT,NKYC-USDT,NKYC,USDT,True,active,7.484608,161915.0161,21771.164,7.471767,7.484894,17.553383071261546,,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774834402054.0,False,0.9536231884057971,0.9649122807017544,0.0,76.5720823798627
nonkyc,LINK/USDT,LINK-USDT,LINK,USDT,True,active,8.49,591343.1026,70053.1,8.48,8.51,35.314891112418316,,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774834413960.0,False,0.9739130434782609,0.8771929824561404,0.0,75.49504195270787
nonkyc,BTC/USDT,BTC-USDT,BTC,USDT,True,active,66596.17,7217688.8205,108.5772,66443.56,66777.04,50.06432939049906,,0.01,1e-06,,,market.getlist.priceDecimals/quantityDecimals,1774834407859.0,False,1.0,0.8128654970760234,0.0,75.3216374269006
nonkyc,MANA/USDT,MANA-USDT,MANA,USDT,True,active,0.08107,67525.3419,838375.18,0.08106,0.08108,2.4670038238566825,,1e-05,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774834408247.0,False,0.9188405797101449,0.9912280701754386,0.0,75.31693363844394
nonkyc,USDC/USDT,USDC-USDT,USDC,USDT,True,active,1.0005,953857.4174,953398.76,0.9978,1.0028,49.98500449864934,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774833624530.0,False,0.9826086956521739,0.8157894736842105,0.0,74.43821510297484
nonkyc,LTC/USDT,LTC-USDT,LTC,USDT,True,active,53.76,498738.6124,9311.674,53.62,53.87,46.51595497255558,,0.01,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774834407103.0,False,0.9710144927536232,0.8304093567251463,0.0,74.16603101957794
nonkyc,ARB/USDT,ARB-USDT,ARB,USDT,True,active,0.0898,50111.6629,564649.63,0.0897,0.0899,22.27171492204809,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774834363061.0,False,0.9014492753623189,0.9385964912280702,0.0,73.0446224256293
