connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,permissions_spot,last_price,quote_volume_24h,volume_base_24h,bid_price,bid_quantity,ask_price,ask_quantity,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,maker_fee_estimate,taker_fee_estimate,rule_estimate_source,raw_trade_side_type,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score,best_bid,best_ask,mid_price,spread_abs,bid_top_quote,ask_top_quote,orderbook_levels_bid,orderbook_levels_ask,bid_depth_quote_5bps,ask_depth_quote_5bps,sym_depth_quote_5bps,bid_depth_quote_10bps,ask_depth_quote_10bps,sym_depth_quote_10bps,bid_depth_quote_25bps,ask_depth_quote_25bps,sym_depth_quote_25bps,n_candles,candle_first_ts,candle_last_ts,candle_expected,candle_missing,coverage_ratio,zero_volume_fraction,natr_bps_mean,realized_vol_bps,efficiency_ratio,lag1_return_autocorr,median_quote_volume_per_bar,recent_trade_count,trades_per_minute,trade_quote_volume,trade_quote_volume_per_minute,last_trade_age_sec,median_trade_quote,buy_trade_fraction,vol_to_spread_ratio,volume_rank,depth_rank,spread_rank,top_rank,activity_rank,quality_rank,alpha_natr_score,alpha_efficiency_score,alpha_edge_score,alpha_rank,screen_score,rejection_reasons,rejection_reason,passed_filters
mexc,BTCUSDT,BTC-USDT,BTC,USDT,True,1,True,70768.76,1070586202.51,15352.8134223,70767.9,0.00166127,70767.91,0.06791286,0.0014130553732965615,4820.7052649472,0.01,1e-06,1e-06,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,1.0,0.9995044598612488,0.8830525272547076,97.64866204162537,70768.63,70768.64,70768.63500000001,0.00999999999476131,4822.6181675101,4820.7052649472,200,200,428529.5462878183,407980.1065688628,407980.1065688628,462512.2804437485,475332.4261760728,462512.2804437485,543309.8459585211,521232.838838147,521232.838838147,288,1774223400.0,1774309500.0,288,0,1.0,0.0,25.52514756061179,27.998261670326126,0.10231057636086831,-0.038226616461575005,2472057.068627774,500,61.09979633401222,1506313.1847798177,184070.85761056835,4.878597974777222,370.59352140814997,0.494,18063.798519843822,1.0,0.95,0.99,0.88,0.976,1.0,1.0,1.0,0.0,0.6666666666666666,94.25866666666667,[],,True
mexc,DOGEUSDT,DOGE-USDT,DOGE,USDT,True,1,True,0.09401,39780989.26769,427210446.65,0.094,36999.41,0.09401,115718.75,1.06377320355259,5327.93974,1e-05,1.0,1.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9965312190287413,0.9851337958374629,0.9945490584737364,99.32854311199208,0.094,0.09401,0.094005,9.999999999996123e-06,5327.93974,10878.719687499999,200,200,150037.8663387,111692.2956051,111692.2956051,343535.2629991,255612.2273923,255612.2273923,894165.3187745,1020075.2965339,894165.3187745,288,1774223100.0,1774309200.0,288,0,1.0,0.0,31.21098140634563,33.67483215437053,0.08730158730158745,0.005705894387887832,63326.967546600004,500,24.958402662229616,154740.6020748,7724.156509557403,2.316561222076416,31.520612899999996,0.474,29.33988307104659,0.95,0.92,0.85,0.89,0.938,1.0,1.0,1.0,0.688670564298447,0.8962235214328157,92.13823521432816,[],,True
mexc,SOLUSDT,SOL-USDT,SOL,USDT,True,1,True,91.33,153150319.16,1711766.989,91.31,139.067,91.32,12.542,1.09511033236499,318.61548,0.01,0.01,0.01,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9985133795837463,0.9831516352824579,0.9836471754212092,99.1699702675917,91.31,91.32,91.315,0.009999999999990905,25882.093429999997,318.61548,200,200,347510.80828,123507.21582000001,123507.21582000001,801603.03306,567093.54775,567093.54775,1576746.06927,1469582.20519,1469582.20519,288,1774223100.0,1774309200.0,288,0,1.0,0.0,34.78972338312858,37.04307068607482,0.11371841155234655,0.03462876399075665,306580.311135,500,42.67425320056899,286377.61161,24441.90141763869,5.109758615493774,46.058415,0.498,31.768235907332755,0.98,0.96,0.83,0.63,0.9594999999999999,1.0,1.0,1.0,0.6077254697555748,0.8692418232518583,91.2464182325186,[],,True
mexc,BNBUSDT,BNB-USDT,BNB,USDT,True,1,True,638.3,50201212.89,78664.6794,638.3,2.6995,638.31,8.9856,0.156664917241615,1723.0908499999998,0.01,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9970267591674926,0.998017839444995,0.9890981169474727,99.56888007928643,638.3,638.31,638.305,0.009999999999990905,1723.0908499999998,5735.598335999999,200,200,80353.416111,116261.825625,80353.416111,121528.374903,134181.157646,121528.374903,169642.909314,157839.393337,157839.393337,288,1774223100.0,1774309200.0,288,0,1.0,0.0,21.186030842280697,23.98281286533158,0.055113439770648816,0.0050042081312921555,73001.09303199999,500,31.982942430703627,84455.944068,5402.299194115139,5.5938286781311035,25.2974405,0.51,135.2314941679428,0.96,0.89,0.98,0.82,0.9495,1.0,1.0,1.0,0.0,0.6666666666666666,91.14066666666666,[],,True
mexc,XRPUSDT,XRP-USDT,XRP,USDT,True,1,True,1.4312,114886451.0054,81219520.43,1.4309,276.02,1.4311,10472.65,0.6988364373317654,394.957018,0.0001,0.1,0.1,1.0,0.0,0.0,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.998017839444995,0.9801783944499505,0.9603567888999008,98.60257680872151,1.4309,1.431,1.4309500000000002,9.999999999998899e-05,394.957018,1483.61787,200,200,75289.852373,116271.408187,75289.852373,338465.830236,444768.117644,338465.830236,672387.883409,807758.809502,672387.883409,288,1774223100.0,1774309200.0,288,0,1.0,0.0,32.042499267585335,31.803792336448144,0.06804374240583226,-0.01107111875868554,237757.96581800003,500,30.425963488843813,356439.12008300005,21690.00730728195,15.28899097442627,58.4375795,0.516,45.851214326956296,0.97,0.94,0.96,0.69,0.8484999999999999,1.0,1.0,1.0,0.13829285576812347,0.7127642852560411,90.26964285256041,[],,True
mexc,LTCUSDT,LTC-USDT,LTC,USDT,True,1,True,55.59,10164782.55,184745.3711,55.59,162.365,55.6,36.4416,1.7987229067358594,2026.1529600000001,0.01,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9890981169474727,0.9737363726461843,0.9910802775024777,98.56541129831517,55.59,55.6,55.595,0.00999999999999801,9025.870350000001,2026.1529600000001,200,200,45348.670062000005,27137.187096,27137.187096,95407.460592,111470.12143900001,95407.460592,251152.832382,294021.405615,251152.832382,288,1774223100.0,1774309200.0,288,0,1.0,0.0,23.874276308366884,25.27942169335093,0.10899470899470884,-0.007157387291148077,17199.334566999998,500,25.641025641025642,97507.19646300001,5000.369049384616,8.086389064788818,33.04782,0.522,13.27290391363921,0.83,0.87,0.78,0.84,0.8815000000000001,1.0,1.0,1.0,1.0,1.0,87.098,[],,True
mexc,TRXUSDT,TRX-USDT,TRX,USDT,True,1,True,0.3071,10829159.1835,35193782.99,0.3069,138516.12,0.307,139356.1,3.2567985670082717,17306.70748,0.0001,1.0,1.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9900891972249752,0.9578790882061446,0.998017839444995,98.36223984142717,0.307,0.3071,0.30705,9.999999999998899e-05,17306.70748,31796.790048,200,200,114970.846921,118711.69718399999,114970.846921,171968.644869,237744.475104,171968.644869,781821.1500039999,1042945.026016,781821.1500039999,288,1774223400.0,1774309500.0,288,0,1.0,0.003472222222222222,14.347518659651163,11.888349223130257,0.04678362573099501,-0.007136470259887993,23825.731410499997,500,17.626321974148063,248756.11144,8769.310626556991,14.882010459899902,20.540690499999997,0.526,4.405405604446375,0.84,0.91,0.62,0.95,0.7739999999999999,0.9984375000000001,0.9275020732945737,0.9356725146199002,1.0,0.9543915293048246,84.69629029304824,[],,True
mexc,LINKUSDT,LINK-USDT,LINK,USDT,True,1,True,9.1,31398054.852,3490739.8,9.098,206.14,9.099,85.67,1.0990822663070239,546.8499,0.001,0.01,0.01,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9955401387512388,0.9826560951437067,0.9762140733399405,98.84539147670961,9.098,9.099,9.098500000000001,0.0009999999999994458,1875.46172,546.8499,200,200,27201.27141,8537.10131,8537.10131,44639.10202,30812.15441,30812.15441,321929.42832,169873.70802,169873.70802,288,1774223100.0,1774309200.0,288,0,1.0,0.0,32.98781114159532,38.44622303696278,0.08781243087812445,0.0019961067359768677,62246.668784999994,500,7.5357950263752835,701523.43642,10573.073646119066,14.673105001449585,39.996645,0.504,30.01395996719714,0.93,0.84,0.8200000000000001,0.74,0.5825,1.0,1.0,1.0,0.666201334426762,0.888733778142254,84.03733778142254,[],,True
mexc,ADAUSDT,ADA-USDT,ADA,USDT,True,1,True,0.2616,19778777.4215,76557702.12,0.2616,1875.2,0.2617,128120.93,3.821899484043149,587.532672,0.0001,0.1,0.1,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9940535183349851,0.9494549058473737,0.9658077304261645,97.72547076313182,0.2616,0.2617,0.26165,9.999999999998899e-05,587.532672,33529.247380999994,200,200,587.532672,33529.247380999994,587.532672,102797.23237700001,128161.95603,102797.23237700001,345739.578174,373051.08662899997,345739.578174,288,1774223400.0,1774309500.0,288,0,1.0,0.003472222222222222,34.84949436565234,35.99341462194247,0.08655332302936623,-0.02663690959851159,33413.785518000004,500,12.096774193548386,201312.23392099998,4870.457272282257,16.12013077735901,46.1274405,0.5,9.118370200773938,0.9,0.88,0.5700000000000001,0.76,0.7275,0.9984375000000001,1.0,1.0,1.0,1.0,83.11437500000001,[],,True
mexc,TAOUSDT,TAO-USDT,TAO,USDT,True,1,True,292.54,20670179.61,73678.328,292.53,12.031,292.66,0.248,4.792058873867643,489.17628,0.01,0.01,0.01,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9945490584737364,0.9395441030723488,0.8156590683845392,94.50198216055502,292.08,292.22,292.15,0.1400000000000432,9160.212959999999,489.17628,200,200,9647.89685,1039.74256,1039.74256,24126.10948,13624.962070000001,13624.962070000001,114309.29779,65223.62304,65223.62304,288,1774223400.0,1774309500.0,288,0,1.0,0.0,64.94078366646282,52.92885020629242,0.11076499565343369,-0.05693919704573131,52399.83579,500,69.28406466512702,99488.77090999999,13785.972874364894,7.434105396270752,37.86148,0.492,13.551749962965186,0.91,0.75,0.45999999999999996,0.73,0.9475,1.0,1.0,1.0,1.0,1.0,81.41000000000001,[],,True
