connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,permissions_spot,last_price,quote_volume_24h,volume_base_24h,bid_price,bid_quantity,ask_price,ask_quantity,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,maker_fee_estimate,taker_fee_estimate,rule_estimate_source,raw_trade_side_type,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score,best_bid,best_ask,mid_price,spread_abs,bid_top_quote,ask_top_quote,orderbook_levels_bid,orderbook_levels_ask,bid_depth_quote_5bps,ask_depth_quote_5bps,sym_depth_quote_5bps,bid_depth_quote_10bps,ask_depth_quote_10bps,sym_depth_quote_10bps,bid_depth_quote_25bps,ask_depth_quote_25bps,sym_depth_quote_25bps,bid_depth_quote_50bps,ask_depth_quote_50bps,sym_depth_quote_50bps,bid_depth_quote_100bps,ask_depth_quote_100bps,sym_depth_quote_100bps,bid_depth_quote_1xspread,ask_depth_quote_1xspread,sym_depth_quote_1xspread,bid_depth_quote_2xspread,ask_depth_quote_2xspread,sym_depth_quote_2xspread,n_candles,candle_first_ts,candle_last_ts,candle_expected,candle_missing,coverage_ratio,zero_volume_fraction,natr_bps_mean,realized_vol_bps,efficiency_ratio,lag1_return_autocorr,median_quote_volume_per_bar,recent_trade_count,trades_per_minute,trade_quote_volume,trade_quote_volume_per_minute,last_trade_age_sec,median_trade_quote,buy_trade_fraction,vol_to_spread_ratio,volume_rank,depth_rank,spread_rank,top_rank,activity_rank,quality_rank,alpha_natr_score,alpha_efficiency_score,alpha_edge_score,alpha_rank,screen_score,rejection_reasons,rejection_reason,passed_filters
mexc,SOLUSDT,SOL-USDT,SOL,USDT,True,1,True,90.7,153687179.34,1710931.369,90.64,5.849,90.65,610.844,1.1032048099735356,2177.6849500000003,0.01,0.01,0.01,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9991677070328756,0.9829308909242298,0.9687760199833472,98.90301655958085,90.64,90.65,90.64500000000001,0.010000000000005116,2893.04752,2177.6849500000003,200,200,134082.09839,212916.48011,134082.09839,679348.0046399999,815726.73859,679348.0046399999,1495567.7647,2042000.75328,1495567.7647,1504876.58374,2045445.93043,1504876.58374,1770911.40667,2353311.61635,1770911.40667,2893.04752,2177.6849500000003,2177.6849500000003,14520.15148,51801.34255,14520.15148,288,1774239000.0,1774325100.0,288,0,1.0,0.0,34.29261263499529,36.66633883893305,0.09901454716095746,0.037359309825718535,314601.53091000003,500,63.291139240506325,381096.58817,48240.074451898734,6.920546054840088,134.59279500000002,0.462,31.08453872297558,0.98,0.96,0.79,0.86,0.9215,1.0,1.0,1.0,0.630515375900814,0.8768384586336047,92.06638458633604,[],,True
mexc,DOGEUSDT,DOGE-USDT,DOGE,USDT,True,1,True,0.0936,39978765.32777,428387862.67,0.09359,508.8,0.0936,133235.88,1.0686615014689955,3895.8131496,1e-05,1.0,1.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9970869746150645,0.984179850124896,0.7739383846794338,94.92304755053964,0.09357,0.09358,0.09357499999999999,9.999999999996123e-06,3895.8131496,5666.306432,200,200,111079.38592310001,118822.394328,111079.38592310001,340015.4633895,274980.1031968,274980.1031968,1232763.9464387,857020.10467,857020.10467,1233092.7357381,863837.0655853,863837.0655853,1499974.6067082,1234410.6907545,1234410.6907545,3895.8131496,5666.306432,3895.8131496,8150.6422052,14543.222470200002,8150.6422052,288,1774239300.0,1774325400.0,288,0,1.0,0.0,31.37156956286046,33.727889120784155,0.06597792909133639,0.007680172426618479,65733.08223165001,500,25.402201524132092,163943.6388816,8329.05870693988,3.6466736793518066,30.5742878,0.512,29.35594621845805,0.93,0.93,0.8200000000000001,0.91,0.8945,1.0,1.0,1.0,0.6881351260513983,0.8960450420171328,91.01445042017133,[],,True
mexc,ADAUSDT,ADA-USDT,ADA,USDT,True,1,True,0.2619,19874150.4171,76720395.32,0.2616,22028.01,0.2617,30220.56,3.82043935052489,7053.729759999999,0.0001,0.1,0.1,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9945900957136912,0.9492089925062448,0.9945878434637802,98.32443694618473,0.2617,0.2618,0.26175,9.999999999998899e-05,10648.735254000001,7053.729759999999,200,200,10648.735254000001,7053.729759999999,7053.729759999999,80497.669859,86798.37151,80497.669859,319836.098492,250016.564823,250016.564823,581225.301142,436698.116741,436698.116741,936922.363644,834269.816147,834269.816147,10648.735254000001,7053.729759999999,7053.729759999999,46875.456414,53040.253150000004,46875.456414,288,1774239300.0,1774325400.0,288,0,1.0,0.0,34.58091167285713,35.768674162159364,0.07849293563579308,-0.030135254312765265,32496.385255999998,500,13.5623869801085,231623.683252,6282.740052043399,2.066716432571411,65.537354,0.496,9.05155363037135,0.88,0.89,0.5700000000000001,0.92,0.8079999999999999,1.0,1.0,1.0,1.0,1.0,85.09599999999999,[],,True
mexc,LTCUSDT,LTC-USDT,LTC,USDT,True,1,True,55.51,10371772.8,188061.8367,55.51,58.88,55.52,121.0536,1.8013149599216638,1581.946184,0.01,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9904286308780691,0.9750208159866778,0.9925062447960034,98.6992199938808,55.51,55.52,55.515,0.010000000000005116,1581.946184,6720.895872000001,200,200,21078.468184,30365.884512,21078.468184,76504.885688,89729.839952,76504.885688,232460.179846,217778.333165,217778.333165,505610.717488,359822.650452,359822.650452,569305.764921,379696.234458,379696.234458,1581.946184,6720.895872000001,1581.946184,5767.667384,19489.330800000003,5767.667384,288,1774239000.0,1774325100.0,288,0,1.0,0.0,23.40196351982167,25.06388044523392,0.08360477741585227,-0.00505649157837409,17782.6344405,500,19.305019305019307,58223.250318,2248.001942779923,11.675223588943481,20.933218000000004,0.492,12.991600048022352,0.81,0.88,0.74,0.83,0.744,1.0,1.0,1.0,1.0,1.0,84.44800000000001,[],,True
mexc,BNBUSDT,BNB-USDT,BNB,USDT,True,1,True,632.72,49007726.92,76699.0615,632.61,14.3072,632.62,1.0203,0.15807152736598942,572.909728,0.01,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9975031210986267,0.9977102414654455,0.9754371357202332,99.31417041146528,632.62,632.63,632.625,0.009999999999990905,11858.841472,572.909728,200,200,95580.612164,63862.421065,63862.421065,122142.93730800001,91829.92628100001,91829.92628100001,153348.78860200002,135374.904544,135374.904544,153877.691009,135391.413764,135391.413764,170672.514499,149178.879924,149178.879924,11858.841472,572.909728,572.909728,14283.002992,1229.336992,1229.336992,288,1774239000.0,1774325100.0,288,0,1.0,0.0,20.936207291429298,23.783903879902574,0.02959493540583664,0.00506125293225558,64550.9090515,500,61.98347107438017,124044.138761,15377.372573677685,5.326375722885132,63.287947,0.496,132.44768137752504,0.94,0.7,0.96,0.71,0.9324999999999999,1.0,1.0,0.5918987081167328,0.0,0.5306329027055776,84.09632902705576,[],,True
mexc,LINKUSDT,LINK-USDT,LINK,USDT,True,1,True,9.123,32418921.426,3590466.39,9.119,50.0,9.12,90.65,1.0965513460161698,455.95,0.001,0.01,0.01,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9962546816479401,0.9833472106577852,0.9650291423813488,98.67827060470832,9.119,9.12,9.119499999999999,0.0009999999999994458,455.95,3845.8127999999997,200,200,6769.14774,39084.7952,6769.14774,31867.14857,63131.05498,31867.14857,288874.36131999997,399350.07287,288874.36131999997,769807.00407,804007.46843,769807.00407,1202485.3759,1070664.12503,1070664.12503,455.95,3845.8127999999997,455.95,455.95,8803.62356,455.95,288,1774239000.0,1774325100.0,288,0,1.0,0.0,32.94026703640847,38.31984449425289,0.09143881667413709,-0.005192566020307918,69201.24734999999,500,9.88793671720501,480575.65914,9503.80341081081,22.627481937408447,41.88723,0.498,30.039876523869346,0.91,0.92,0.8,0.66,0.5690000000000001,1.0,1.0,1.0,0.6653374492043551,0.8884458164014517,84.03245816401451,[],,True
mexc,GOLD(PAXG)USDT,GOLD(PAXG)-USDT,GOLD(PAXG),USDT,True,1,True,4362.2,57194280.11,13182.91689,4362.2,1.48632,4362.21,11.97558,0.022919299999239716,1391.3585257,0.01,1e-06,1e-06,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.997919267582189,0.9991673605328892,0.9950041631973355,99.76482699428934,4363.13,4363.14,4363.135,0.010000000000218279,1391.3585257,2696.3332572,200,200,62663.8343412,37170.0030698,37170.0030698,129539.92742210001,87005.0923718,87005.0923718,204094.8830932,119177.1797429,119177.1797429,208356.8111004,155403.6915748,155403.6915748,308734.7166069,691518.0019415,308734.7166069,1391.3585257,2696.3332572,1391.3585257,7572.6778921000005,2696.3332572,2696.3332572,288,1774239000.0,1774325100.0,288,0,1.0,0.0,41.653119857931266,33.97719286971793,0.004631065351774759,0.12495284751247218,92829.04969399999,500,32.39740820734341,156461.04714850002,10137.864826036717,13.716707468032837,57.9514782,0.514,1817.3818510736799,0.95,0.75,0.98,0.82,0.794,1.0,1.0,0.09262130703549518,0.0,0.364207102345165,83.21007102345165,[],,True
mexc,TRXUSDT,TRX-USDT,TRX,USDT,True,1,True,0.3094,10821906.3701,35195371.2,0.3095,64237.34,0.3096,34605.81,3.230495881117396,10713.958776,0.0001,1.0,1.0,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9912609238451935,0.958368026644463,0.9962531223980017,98.40361392555725,0.3095,0.3096,0.30955,9.999999999998899e-05,20179.47428,10713.958776,200,200,72381.819748,104315.193691,72381.819748,146107.91011,203909.12146300002,146107.91011,1040920.7651920001,873847.163105,873847.163105,1391953.37318,1319751.574275,1319751.574275,1531988.150937,1474151.05251,1474151.05251,20179.47428,10713.958776,10713.958776,72381.819748,104315.193691,72381.819748,288,1774239300.0,1774325400.0,288,0,1.0,0.0,14.336746695487713,11.9977534862085,0.014409221902017393,0.0102733436127232,24017.622554999998,500,21.770682148040642,120459.448709,5244.968739143687,16.438863039016724,18.791701500000002,0.486,4.43793993958871,0.82,0.95,0.61,0.93,0.6980000000000001,1.0,0.9263051883875237,0.2881844380403478,1.0,0.7381632088092905,81.6376320880929,[],,True
mexc,TAOUSDT,TAO-USDT,TAO,USDT,True,1,True,313.55,25085771.12,87313.636,313.48,0.248,313.59,0.035,4.450661241098244,2845.51372,0.01,0.01,0.01,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9954223886808157,0.95503746877602,0.556203164029975,89.74823137744488,314.49,314.63,314.56,0.13999999999998636,12835.28037,2845.51372,200,200,12835.28037,2845.51372,2845.51372,24005.86171,10335.50926,10335.50926,114492.25142,61099.527799999996,61099.527799999996,142877.80464,102320.95305,102320.95305,154862.71839,164770.25652,154862.71839,12835.28037,2845.51372,2845.51372,17443.79865,10335.50926,10335.50926,288,1774239300.0,1774325400.0,288,0,1.0,0.0,70.37581881039387,55.784477872850346,0.1294224765868887,-0.0595273907350118,66539.07337,500,144.92753623188406,167125.13299999997,48442.06753623187,5.414564371109009,52.671260000000004,0.444,15.812441117856894,0.9,0.64,0.5,0.88,0.9615,1.0,1.0,1.0,1.0,1.0,80.978,[],,True
mexc,UNIUSDT,UNI-USDT,UNI,USDT,True,1,True,3.584,6555532.486,1833514.52,3.584,192.32,3.585,286.97,2.7882336539811345,846.8907,0.001,0.001,0.001,1.0,0.0,0.0005,exchangeInfo.quotePrecision/baseSizePrecision/quoteAmountPrecision,1,False,0.9870994590095714,0.9641965029142381,0.9762697751873439,97.92077832212927,3.586,3.587,3.5865,0.001000000000000334,1441.6078599999998,846.8907,151,200,7563.5689600000005,14426.10726,7563.5689600000005,15865.84351,48240.00719,15865.84351,67568.18032,98440.6082,67568.18032,178440.49364,182265.82253,178440.49364,202463.53305,199610.13239,199610.13239,1441.6078599999998,846.8907,846.8907,7563.5689600000005,14426.10726,7563.5689600000005,288,1774239300.0,1774325400.0,288,0,1.0,0.0,33.734122120349284,32.966036437262,0.04392470051340578,-0.011667825761367516,8709.44511,500,7.727975270479134,122817.57404,1898.2623499227202,26.002541542053223,32.371849999999995,0.49,12.09874289845923,0.74,0.76,0.6699999999999999,0.77,0.4825,1.0,1.0,0.8784940102681156,1.0,0.9594980034227052,75.22498003422704,[],,True
