connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,last_price,quote_volume_24h,volume_base_24h,bid_price,ask_price,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,rule_estimate_source,last_trade_at_ms,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score,best_bid,best_ask,mid_price,spread_abs,bid_top_quote,ask_top_quote,orderbook_levels_bid,orderbook_levels_ask,bid_depth_quote_5bps,ask_depth_quote_5bps,sym_depth_quote_5bps,bid_depth_quote_10bps,ask_depth_quote_10bps,sym_depth_quote_10bps,bid_depth_quote_25bps,ask_depth_quote_25bps,sym_depth_quote_25bps,n_candles,candle_first_ts,candle_last_ts,candle_expected,candle_missing,coverage_ratio,zero_volume_fraction,natr_bps_mean,realized_vol_bps,efficiency_ratio,lag1_return_autocorr,median_quote_volume_per_bar,recent_trade_count,trades_per_minute,trade_quote_volume,trade_quote_volume_per_minute,last_trade_age_sec,median_trade_quote,buy_trade_fraction,vol_to_spread_ratio,volume_rank,depth_rank,spread_rank,top_rank,activity_rank,quality_rank,alpha_natr_score,alpha_efficiency_score,alpha_edge_score,alpha_rank,screen_score,rejection_reasons,rejection_reason,passed_filters
nonkyc,NKYC/USDT,NKYC-USDT,NKYC,USDT,True,active,7.484608,166474.9883,22183.0673,7.477184,7.492093,19.91946571634608,77.59036273589999,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774309420319.0,False,0.9141630901287554,0.9391304347826087,0.0,73.75723082664678,7.477184,7.492093,7.4846385,0.014908999999999395,81.953675232,77.59036273589999,123,200,0.0,0.0,0.0,81.953675232,77.59036273589999,77.59036273589999,224.810334027,127.56155086549998,127.56155086549998,288,1774223100.0,1774309200.0,288,0,1.0,0.0,23.563095938604615,25.5595101395455,0.011074085354144968,-0.09807529440582839,592.8631598869999,0,,,,,,,1.1829180698992614,0.75,1.0,0.9125,0.925,0.0,1.0,1.0,0.22148170708289935,0.0914590349496307,0.4376469140108434,74.37646914010844,"['depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40']",depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40,False
nonkyc,BTC/USDT,BTC-USDT,BTC,USDT,True,active,70769.87,16202814.5311,232.2109,70743.38,71034.25,41.03186095013654,18.039561900000002,0.01,1e-06,,,market.getlist.priceDecimals/quantityDecimals,1774309479902.0,False,1.0,0.8956521739130435,0.0,77.3913043478261,70743.38,71034.25,70888.815,290.86999999999534,18.039561900000002,17705.64198375,105,117,0.0,0.0,0.0,0.0,0.0,0.0,18.039561900000002,277783.2750944,18.039561900000002,288,1774222200.0,1774309200.0,291,3,0.9896907216494846,0.003472222222222222,26.945039580595587,32.497866044664256,0.06967896347566192,-0.18483628005734568,27571.830420000006,0,,,,,,,0.6566857792128954,1.0,0.4625,0.8375,0.8875,0.0,0.9927673969072166,1.0,1.0,0.0,0.6666666666666666,70.34434063573883,"['top_of_book_quote<75', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40']",top_of_book_quote<75; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40,False
nonkyc,HACD/USDT,HACD-USDT,HACD,USDT,True,active,4.667,28137.4224,5579.8662,4.6662,4.6681,4.0710069314249875,0.197585781761,0.0001,1e-08,,,market.getlist.priceDecimals/quantityDecimals,1774308966536.0,False,0.7553648068669528,0.9782608695652174,0.0,66.00158611681285,4.6662,4.6681,4.6671499999999995,0.0019000000000000128,0.8196257758919999,0.197585781761,70,124,0.8196257758919999,0.197585781761,0.197585781761,0.8196257758919999,0.197585781761,0.197585781761,0.8196257758919999,0.197585781761,0.197585781761,288,1774221600.0,1774309500.0,294,6,0.9795918367346939,0.0,52.57197698395201,81.48055697872593,0.07349383971967915,-0.08717987612934935,65.5632892,0,,,,,,,12.913752756876313,0.325,0.9375,0.975,0.4875,0.0,0.9887755102040816,1.0,1.0,1.0,1.0,65.93775510204081,"['quote_volume_24h<100000', 'top_of_book_quote<75', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40']",quote_volume_24h<100000; top_of_book_quote<75; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40,False
nonkyc,LINK/USDT,LINK-USDT,LINK,USDT,True,active,9.11,2130469.5615,236754.44,9.1,9.15,54.794520547945986,0.637,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309444956.0,False,0.9699570815450643,0.8565217391304347,0.0,74.76068296323942,9.1,9.15,9.125,0.05000000000000071,0.637,486.963,60,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,1774220400.0,1774309200.0,297,9,0.9696969696969697,0.0,23.9588152019998,33.69366155610617,0.10499999999999965,0.07038583030614762,3015.6087500000003,0,,,,,,,0.43724837743649014,0.9125,0.4625,0.7125,0.7,0.0,0.9833333333333334,1.0,1.0,0.0,0.6666666666666666,64.64999999999999,"['top_of_book_quote<75', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40']",top_of_book_quote<75; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40,False
nonkyc,XMR/USDT,XMR-USDT,XMR,USDT,True,active,349.76,2431716.441,6826.153,349.75,352.01,64.40948472412195,1.40804,0.01,0.001,,,market.getlist.priceDecimals/quantityDecimals,1774309451112.0,False,0.9785407725321889,0.8,0.0,73.8197424892704,349.75,352.01,350.88,2.259999999999991,97.58025,1.40804,171,188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,1774222800.0,1774309200.0,289,1,0.9965397923875432,0.0,50.18836561083231,33.958018973353354,0.057843961410672065,-0.24952319241697368,2824.2796799999996,0,,,,,,,0.7792076869703057,0.9375,0.4625,0.5875,0.7625,0.0,0.9980968858131487,1.0,1.0,0.0,0.6666666666666666,63.89763552479815,"['top_of_book_quote<75', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40']",top_of_book_quote<75; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40,False
nonkyc,USDC/USDT,USDC-USDT,USDC,USDT,True,active,1.0003,2378334.5651,2378183.55,0.9977,1.0026,48.99265110233369,10.026,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774308628264.0,False,0.9742489270386266,0.8826086956521739,0.0,75.64890837842881,0.9977,1.0026,1.00015,0.004899999999999904,64.271834,10.026,61,53,0.0,0.0,0.0,0.0,0.0,0.0,64.271834,10.026,10.026,288,1774222200.0,1774309200.0,291,3,0.9896907216494846,0.0,15.046538344087562,13.135895894349675,0.001007049345417833,-0.5511932275384646,3652.0903783,0,,,,,,,0.3071182719354994,0.925,0.4625,0.8,0.875,0.0,0.9943298969072165,0.5872115286739635,0.02014098690835666,0.0,0.20245083852744006,63.21780735434657,"['top_of_book_quote<75', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40']",top_of_book_quote<75; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40,False
nonkyc,XRP/USDT,XRP-USDT,XRP,USDT,True,active,1.431,3412914.9128,2412507.97,1.428,1.4359,53.08003911160812,0.15708,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309489182.0,False,0.9914163090128756,0.8521739130434782,0.0,75.83224482179511,1.428,1.4356,1.4318,0.007600000000000051,0.15708,2039.829684,89,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,1774223100.0,1774309200.0,288,0,1.0,0.0,31.847011489762913,28.289558991921236,0.0698671238748392,-0.03387987491126533,6198.9999245,0,,,,,,,0.5999809348821347,0.975,0.4625,0.75,0.225,0.0,1.0,1.0,1.0,0.0,0.6666666666666666,63.11666666666667,"['top_of_book_quote<75', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40']",top_of_book_quote<75; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40,False
nonkyc,IMX/USDT,IMX-USDT,IMX,USDT,True,active,0.1602,33399.2725,214941.97,0.1601,0.1603,12.484394506866774,0.15709399999999998,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309481815.0,False,0.7811158798283262,0.9565217391304348,0.0,66.87441686881881,0.1601,0.1603,0.1602,0.00020000000000000573,929.9840770000001,0.15709399999999998,48,74,0.0,0.0,0.0,929.9840770000001,0.15709399999999998,0.15709399999999998,2810.8158219999996,0.15709399999999998,0.15709399999999998,288,1774221900.0,1774309200.0,292,4,0.9863013698630136,0.0,31.58406600372387,32.30766866615424,0.03999999999999984,-0.04424053900048454,51.413046,0,,,,,,,2.5298836868982093,0.375,0.925,0.925,0.2375,0.0,0.9924657534246575,1.0,0.7999999999999968,0.7649418434491047,0.8549806144830338,62.67446367907692,"['quote_volume_24h<100000', 'top_of_book_quote<75', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40']",quote_volume_24h<100000; top_of_book_quote<75; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40,False
nonkyc,UNI/USDT,UNI-USDT,UNI,USDT,True,active,3.583,397636.6564,111301.11,3.57,3.596,72.5648897571874,3210.94032,0.001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774309476703.0,False,0.9484978540772532,0.7521739130434782,0.0,70.97172980033588,3.57,3.596,3.583,0.026000000000000245,3481.464,3210.94032,55,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,1774222800.0,1774309200.0,289,1,0.9965397923875432,0.0,29.343417371483927,33.202955156274555,0.05304908279623182,-0.0347745931117074,413.03067000000004,0,,,,,,,0.4043748632385612,0.85,0.4625,0.5125,0.975,0.0,0.9980968858131487,1.0,1.0,0.0,0.6666666666666666,62.297635524798146,"['depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40']",depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40,False
nonkyc,SHIB/USDT,SHIB-USDT,SHIB,USDT,True,active,6.106e-06,472341.3959,78660062579.0,6.096e-06,6.13e-06,53.98773006135029,0.178045872,1e-09,1.0,,,market.getlist.priceDecimals/quantityDecimals,1774309496607.0,False,0.9570815450643777,0.8391304347826087,0.0,73.61774584810598,6.096e-06,6.129e-06,6.1124999999999995e-06,3.300000000000036e-08,0.178045872,2177.478961137,51,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,1774222200.0,1774309200.0,291,3,0.9896907216494846,0.0,33.681145811516494,35.060470835559045,0.10798650168728943,-0.019532863498439225,690.0136745249999,0,,,,,,,0.6238666780996736,0.875,0.4625,0.725,0.425,0.0,0.9943298969072165,1.0,1.0,0.0,0.6666666666666666,61.85996563573883,"['top_of_book_quote<75', 'depth_10bps<250', 'missing_last_trade_age_sec', 'recent_trade_count<40']",top_of_book_quote<75; depth_10bps<250; missing_last_trade_age_sec; recent_trade_count<40,False
