connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,last_price,quote_volume_24h,volume_base_24h,bid_price,ask_price,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,rule_estimate_source,last_trade_at_ms,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score
nonkyc,XRP/USDT,XRP-USDT,XRP,USDT,True,active,1.4236,3455137.2535,2439889.7,1.4235,1.4262,18.94936309085114,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774315814855.0,False,0.9914163090128756,0.9391304347826087,0.0,78.00615786527338
nonkyc,USDC/USDT,USDC-USDT,USDC,USDT,True,active,0.9983,2381417.7071,2381306.71,0.9977,0.9988,11.01928374655637,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774313071901.0,False,0.9742489270386266,0.9608695652173913,0.0,77.60543011755925
nonkyc,XMR/USDT,XMR-USDT,XMR,USDT,True,active,354.41,2546035.8102,7160.709,353.38,354.48,31.079592009720077,,0.01,0.001,,,market.getlist.priceDecimals/quantityDecimals,1774315827463.0,False,0.9785407725321889,0.8782608695652174,0.0,75.77626422840082
nonkyc,TRX/USDT,TRX-USDT,TRX,USDT,True,active,0.3081,425264.6684,1382727.26,0.3084,0.309,19.43634596695787,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774315819423.0,False,0.9527896995708155,0.9347826086956522,0.0,75.77299869378616
nonkyc,SHIB/USDT,SHIB-USDT,SHIB,USDT,True,active,6.037e-06,495254.755,82311499670.0,6.033e-06,6.05e-06,28.13870727468345,,1e-09,1.0,,,market.getlist.priceDecimals/quantityDecimals,1774315822260.0,False,0.9570815450643777,0.8956521739130435,0.0,75.03078932636686
nonkyc,LINK/USDT,LINK-USDT,LINK,USDT,True,active,9.1,2152965.2885,238732.83,9.09,9.12,32.9489291598016,,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774315825686.0,False,0.9699570815450643,0.8652173913043478,0.0,74.97807426758723
nonkyc,DOGE/USDT,DOGE-USDT,DOGE,USDT,True,active,0.09303,401736.0306,4305085.26,0.09306,0.09328,23.61275088547794,,1e-05,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774315830580.0,False,0.944206008583691,0.9173913043478261,0.0,74.86611308079867
nonkyc,SUN/USDT,SUN-USDT,SUN,USDT,True,active,0.019076,157408.6035,8437341.81,0.019066,0.019082,8.38838209080353,,1e-06,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774315788581.0,False,0.9055793991416309,0.9652173913043478,0.0,73.93730173539839
nonkyc,NKYC/USDT,NKYC-USDT,NKYC,USDT,True,active,7.484608,164140.8552,21879.3518,7.477184,7.492093,19.91946571634608,,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774315806984.0,False,0.9098712446351931,0.9304347826086956,0.0,73.30378802015302
nonkyc,ETH/USDT,ETH-USDT,ETH,USDT,True,active,2147.62,13865454.5164,6505.2328,2139.81,2154.89,70.22609262579425,,0.01,1e-05,,,market.getlist.priceDecimals/quantityDecimals,1774315826775.0,False,0.9957081545064378,0.7304347826086957,0.0,73.02481806307148
nonkyc,XLM/USDT,XLM-USDT,XLM,USDT,True,active,0.1657,228890.8831,1407195.32,0.1656,0.1661,30.14772384684959,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774315825958.0,False,0.9227467811158798,0.8826086956521739,0.0,72.81629035267774
nonkyc,PEPE/USDT,PEPE-USDT,PEPE,USDT,True,active,3.42e-06,165608.7776,48235919833.0,3.42e-06,3.43e-06,29.19708029197176,,1e-08,1.0,,,market.getlist.priceDecimals/quantityDecimals,1774314810865.0,False,0.9141630901287554,0.8913043478260869,0.0,72.56157865273373
nonkyc,BNB/USDT,BNB-USDT,BNB,USDT,True,active,636.68,3100614.8835,4851.9376,632.58,637.08,70.88511885071594,,0.01,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774315732165.0,False,0.9871244635193133,0.7260869565217392,0.0,72.4440194066057
nonkyc,BTC/USDT,BTC-USDT,BTC,USDT,True,active,70850.14,16181021.601,231.371,70582.27,71127.56,76.95866969849494,,0.01,1e-06,,,market.getlist.priceDecimals/quantityDecimals,1774315830659.0,False,1.0,0.6956521739130435,0.0,72.3913043478261
nonkyc,ARB/USDT,ARB-USDT,ARB,USDT,True,active,0.0962,116406.6687,1221340.93,0.0961,0.0963,20.79002079001994,,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774315812534.0,False,0.8884120171673819,0.9217391304347826,0.0,71.90613920507558
