connector,exchange_symbol,trading_pair,base_asset,quote_asset,is_active,status_detail,last_price,quote_volume_24h,volume_base_24h,bid_price,ask_price,spread_bps,top_of_book_quote,price_tick_estimate,amount_step_estimate,min_order_size_base_estimate,min_notional_quote_estimate,rule_estimate_source,last_trade_at_ms,book_crossed,coarse_volume_rank,coarse_spread_rank,coarse_top_rank,coarse_score,best_bid,best_ask,mid_price,spread_abs,bid_top_quote,ask_top_quote,orderbook_levels_bid,orderbook_levels_ask,bid_depth_quote_5bps,ask_depth_quote_5bps,sym_depth_quote_5bps,bid_depth_quote_10bps,ask_depth_quote_10bps,sym_depth_quote_10bps,bid_depth_quote_25bps,ask_depth_quote_25bps,sym_depth_quote_25bps,bid_depth_quote_50bps,ask_depth_quote_50bps,sym_depth_quote_50bps,bid_depth_quote_100bps,ask_depth_quote_100bps,sym_depth_quote_100bps,bid_depth_quote_1xspread,ask_depth_quote_1xspread,sym_depth_quote_1xspread,bid_depth_quote_2xspread,ask_depth_quote_2xspread,sym_depth_quote_2xspread,n_candles,candle_first_ts,candle_last_ts,candle_expected,candle_missing,coverage_ratio,zero_volume_fraction,natr_bps_mean,realized_vol_bps,efficiency_ratio,lag1_return_autocorr,median_quote_volume_per_bar,recent_trade_count,trades_per_minute,trade_quote_volume,trade_quote_volume_per_minute,last_trade_age_sec,median_trade_quote,buy_trade_fraction,vol_to_spread_ratio,volume_rank,depth_rank,spread_rank,top_rank,activity_rank,quality_rank,alpha_natr_score,alpha_efficiency_score,alpha_edge_score,alpha_rank,screen_score,rejection_reasons,rejection_reason,passed_filters
nonkyc,USDC/USDT,USDC-USDT,USDC,USDT,True,active,1.0,1683752.4651,1684418.97,0.9975,1.0027,51.99480051994672,472.97358999999994,0.0001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774482442602.0,False,0.9855072463768116,0.8245614035087719,0.0,74.81693363844394,0.9975,1.0027,1.0001,0.005199999999999871,2617.809075,472.97358999999994,59,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730398.613529,730617.458902,730398.613529,886791.974554,916388.467471,886791.974554,768339.485879,750704.923362,750704.923362,886791.974554,916388.467471,886791.974554,288,1774396500.0,1774482600.0,288,0,1.0,0.0,15.03344552000211,5.978843188948537,0.0018214936247721953,-0.4393466064124245,4026.66932,200,3.640048910212309,36275.749044000004,660.2275038737371,0.4599287509918213,125.493559,0.46,0.2891336320106631,0.9375,1.0,0.625,0.95,0.8331250000000001,1.0,0.5861204600001758,0.0364298724954439,0.0,0.20751677749853992,82.1726677749854,[],,True
nonkyc,SOL/USDT,SOL-USDT,SOL,USDT,True,active,91.63,2026641.4203,22013.29,91.21,91.77,61.20887528691685,1596.7979999999998,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774482641168.0,False,0.991304347826087,0.7953216374269005,0.0,74.4047800661073,91.21,91.77,91.49,0.5600000000000023,4289.6062999999995,1596.7979999999998,62,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69548.4117,1596.7979999999998,1596.7979999999998,99073.5538,102091.529,99073.5538,99073.5538,1808.3979999999997,1808.3979999999997,99073.5538,102091.529,99073.5538,288,1774396500.0,1774482600.0,288,0,1.0,0.0,27.132022155301705,16.11971728236831,0.027983274364747752,-0.10922688260850459,4882.4263,200,3.6211678990166183,26074.7229,472.10474770616753,7.193323135375977,104.48564999999999,0.53,0.4432694119622398,0.9625,0.7625,0.5,0.9875,0.734375,1.0,1.0,0.559665487294955,0.0,0.519888495764985,78.26138495764985,[],,True
nonkyc,UNI/USDT,UNI-USDT,UNI,USDT,True,active,3.699,363200.7076,98240.76,3.687,3.716,78.34661623666177,2204.44268,0.001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774482644052.0,False,0.9681159420289855,0.695906432748538,0.0,70.64403763030766,3.687,3.716,3.7015000000000002,0.02900000000000036,5710.536209999999,2204.44268,66,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5710.683649999999,16832.47316,5710.683649999999,58071.53669,78777.95622000001,58071.53669,33052.86703,48870.453120000006,33052.86703,87665.03738,88881.27322,87665.03738,288,1774396500.0,1774482600.0,288,0,1.0,0.0,26.93676725146329,18.99156914530937,0.06301369863013691,-0.09089633321455319,537.11023,200,3.4552817436676864,3028.49979,52.32160017544211,21.495397567749023,9.3444,0.495,0.3438153240734143,0.8625,0.9625,0.25,1.0,0.4625,1.0,1.0,1.0,0.0,0.6666666666666666,74.16666666666666,[],,True
nonkyc,LTC/USDT,LTC-USDT,LTC,USDT,True,active,56.27,815332.6289,14467.7113,56.19,56.42,40.84894769558724,28.23821,0.01,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774482604086.0,False,0.9768115942028985,0.868421052631579,0.0,75.4351639969489,56.19,56.42,56.305,0.23000000000000398,1304.546373,28.23821,92,143,0.0,0.0,0.0,0.0,0.0,0.0,1304.546373,28.23821,28.23821,21257.495652,28.23821,28.23821,103848.961966,57.672467,57.672467,1369.7850629999998,28.23821,28.23821,103837.801966,28.23821,28.23821,288,1774396500.0,1774482600.0,288,0,1.0,0.0,22.615545494465874,17.34570373514075,0.004968944099378804,-0.3490435375495823,1649.767425,200,3.5566810473448065,17356.148500000003,308.65142212426,9.173945903778076,66.9174455,0.51,0.5536383865503822,0.9,0.5375,0.7,0.875,0.650625,1.0,1.0,0.09937888198757608,0.0,0.366459627329192,72.02209627329192,[],,True
nonkyc,AVAX/USDT,AVAX-USDT,AVAX,USDT,True,active,9.66,511044.0996,52834.79,9.63,9.71,82.73009307135476,258.7715,0.01,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774482531376.0,False,0.9710144927536232,0.6578947368421053,0.0,69.85316552250191,9.63,9.71,9.670000000000002,0.08000000000000007,337.05,258.7715,53,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.05,258.7715,258.7715,38490.4097,55620.4447,38490.4097,18068.443799999997,34218.6191,18068.443799999997,88197.1105,129523.5571,88197.1105,288,1774395600.0,1774482600.0,291,3,0.9896907216494846,0.0,23.203397278735867,13.835635055525234,0.031007751937984607,-0.14662950208147602,1247.9211,200,2.602929032666915,12765.751900000001,166.14173122166417,12.886237144470215,22.10745,0.52,0.2804710646067196,0.875,0.925,0.22499999999999998,0.925,0.448125,0.9943298969072165,1.0,0.6201550387596921,0.0,0.5400516795865641,71.22131576493781,[],,True
nonkyc,AAVE/USDT,AAVE-USDT,AAVE,USDT,True,active,112.56,100127.4389,879.632,112.2,112.93,65.73687483343653,369.3138,0.01,0.001,,,market.getlist.priceDecimals/quantityDecimals,1774482632377.0,False,0.9159420289855073,0.7690058479532164,0.0,69.60195779303332,112.2,112.94,112.57,0.7399999999999949,474.04499999999996,369.3138,51,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6205.60131,9780.539,6205.60131,10032.532580000001,9780.652259999999,9780.652259999999,10032.42078,9780.652259999999,9780.652259999999,10032.532580000001,9780.9942,9780.9942,288,1774396500.0,1774482600.0,288,0,1.0,0.0,26.030989452814012,19.404307292596013,0.016088828461364005,-0.06896299112542875,185.01244,200,3.567219040717182,1862.31542,33.21643513022608,2.164240837097168,4.39335,0.525,0.3959876327977423,0.675,0.8875,0.375,0.9375,0.7581249999999999,1.0,1.0,0.3217765692272801,0.0,0.4405921897424267,70.95342189742428,[],,True
nonkyc,RENDER/USDT,RENDER-USDT,RENDER,USDT,True,active,1.853,112696.766,61278.17,1.848,1.862,75.47169811320762,887.0400000000001,0.001,0.01,,,market.getlist.priceDecimals/quantityDecimals,1774482637759.0,False,0.927536231884058,0.7134502923976609,0.0,68.85075006356472,1.848,1.862,1.855,0.014000000000000012,887.0400000000001,1681.0136,51,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1785.0883400000002,1681.18127,1681.18127,9309.87271,17896.23961,9309.87271,5172.89505,11057.97104,5172.89505,17825.76776,25445.23931,17825.76776,288,1774396500.0,1774482600.0,288,0,1.0,0.0,40.65134945717938,32.541774781428536,0.0864819479429054,-0.027493175464732473,208.098855,200,3.433329041812552,936.6977700000001,16.079958285710273,12.215571403503418,2.007245,0.53,0.5386303803076262,0.7125,0.85,0.275,0.975,0.541875,1.0,1.0,1.0,0.0,0.6666666666666666,69.46916666666667,[],,True
nonkyc,NKYC/USDT,NKYC-USDT,NKYC,USDT,True,active,7.507152,168514.0748,22329.9461,7.506762,7.514659,10.514318186008929,36.8642068296,1e-06,0.0001,,,market.getlist.priceDecimals/quantityDecimals,1774482630149.0,False,0.9478260869565217,0.9766081871345029,0.0,76.54563946097129,7.506762,7.514659,7.5107105,0.00789699999999982,36.8642068296,64.2195243481,124,200,0.0,0.0,0.0,36.8642068296,64.2195243481,36.8642068296,84.64910956770001,160.8808618813,84.64910956770001,193.2635226041,288.59315944909997,193.2635226041,622.3182609706,615.728420381,615.728420381,36.8642068296,64.2195243481,36.8642068296,84.64910956770001,160.8808618813,84.64910956770001,288,1774396500.0,1774482600.0,288,0,1.0,0.0,13.82179527105792,12.346463135726736,0.004850633870093165,-0.31665655411963783,611.4145550885,200,2.516924745937477,9040.4287959623,113.7703947522163,28.938641786575317,48.3505631712,0.5,1.3145688599618517,0.7875,0.6125,0.925,0.8875,0.31375,1.0,0.4851496059214934,0.0970126774018633,0.15728442998092584,0.2464822377680942,69.27982237768093,[],,True
nonkyc,PEPE/USDT,PEPE-USDT,PEPE,USDT,True,active,3.53e-06,119685.6911,33729214144.0,3.52e-06,3.54e-06,56.65722379603345,119.5530216,1e-08,1.0,,,market.getlist.priceDecimals/quantityDecimals,1774482618472.0,False,0.9304347826086956,0.804093567251462,0.0,71.27625222476482,3.52e-06,3.54e-06,3.53e-06,1.999999999999981e-08,348.02956672,119.5530216,53,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.02956672,119.5530216,119.5530216,36006.271979599995,26765.17678052,26765.17678052,348.02956672,119.5530216,119.5530216,36006.271979599995,37277.8853501,36006.271979599995,288,1774388100.0,1774482600.0,316,28,0.9113924050632911,0.0,13.046436925686313,17.09553076084794,0.06329113924050622,-0.0789591522690281,254.57773458499997,200,3.733062395898308,3575.69571731,66.74147610732294,18.749889850616455,4.9407239050000005,0.405,0.23026961173836566,0.725,0.575,0.55,0.9125,0.7206250000000001,0.9512658227848101,0.4205364104738594,1.0,0.0,0.4735121368246198,67.8952795960943,[],,True
nonkyc,BCH/USDT,BCH-USDT,BCH,USDT,True,active,473.0,132839.6263,279.3142,472.8,475.9,65.35258775165944,5.664143999999999,0.1,1e-05,,,market.getlist.priceDecimals/quantityDecimals,1774482554989.0,False,0.936231884057971,0.7631578947368421,0.0,70.57170099160945,472.8,475.9,474.35,3.099999999999966,5.664143999999999,1071.15572,63,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.839042999999999,4010.307785,5.839042999999999,4590.494481,30649.299684,4590.494481,5.839042999999999,12080.048421000001,5.839042999999999,27735.317218,30651.733284,27735.317218,288,1774396500.0,1774482600.0,288,0,1.0,0.003472222222222222,27.25249401956711,12.095255054256565,0.01256732495511647,-0.30573716710691295,281.7319,200,3.7101231327419786,1423.04682,26.398394629284553,8.646626234054565,4.058331000000001,0.57,0.41700711413489683,0.75,0.4875,0.4125,0.8375,0.793125,0.9984375000000001,1.0,0.25134649910232937,0.0,0.41711549970077644,64.72302999700776,[],,True
