database,collection,index_name,index_keys,unique,sparse,hidden,expireAfterSeconds,partialFilterExpression_json,wildcardProjection_json,raw_index_json
admin,system.users,_id_,_id:1,False,False,False,,null,null,"{""v"": 2, ""key"": {""_id"": 1}, ""name"": ""_id_""}"
admin,system.users,user_1_db_1,"user:1, db:1",True,False,False,,null,null,"{""v"": 2, ""key"": {""user"": 1, ""db"": 1}, ""name"": ""user_1_db_1"", ""unique"": true}"
admin,system.version,_id_,_id:1,False,False,False,,null,null,"{""v"": 2, ""key"": {""_id"": 1}, ""name"": ""_id_""}"
config,system.sessions,_id_,_id:1,False,False,False,,null,null,"{""v"": 2, ""key"": {""_id"": 1}, ""name"": ""_id_""}"
config,system.sessions,lsidTTLIndex,lastUse:1,False,False,False,1800.0,null,null,"{""v"": 2, ""key"": {""lastUse"": 1}, ""name"": ""lsidTTLIndex"", ""expireAfterSeconds"": 1800}"
local,startup_log,_id_,_id:1,False,False,False,,null,null,"{""v"": 2, ""key"": {""_id"": 1}, ""name"": ""_id_""}"
quants_lab,candle_features,_id_,_id:1,False,False,False,,null,null,"{""v"": 2, ""key"": {""_id"": 1}, ""name"": ""_id_""}"
quants_lab,candle_features,idx_connector_pair_interval_ts,"connector:1, trading_pair:1, interval:1, timestamp:1",True,False,False,,null,null,"{""v"": 2, ""key"": {""connector"": 1, ""trading_pair"": 1, ""interval"": 1, ""timestamp"": 1}, ""name"": ""idx_connector_pair_interval_ts"", ""unique"": true}"
quants_lab,candle_features,idx_latest_ts,"connector:1, trading_pair:1, interval:1, timestamp:-1",False,False,False,,null,null,"{""v"": 2, ""key"": {""connector"": 1, ""trading_pair"": 1, ""interval"": 1, ""timestamp"": -1}, ""name"": ""idx_latest_ts""}"
quants_lab,candles,_id_,_id:1,False,False,False,,null,null,"{""v"": 2, ""key"": {""_id"": 1}, ""name"": ""_id_""}"
quants_lab,candles,idx_base_quote_interval_ts,"base_asset:1, quote_asset:1, interval:1, timestamp:1",False,False,False,,null,null,"{""v"": 2, ""key"": {""base_asset"": 1, ""quote_asset"": 1, ""interval"": 1, ""timestamp"": 1}, ""name"": ""idx_base_quote_interval_ts""}"
quants_lab,candles,idx_connector_pair_interval_ts,"connector:1, trading_pair:1, interval:1, timestamp:1",True,False,False,,null,null,"{""v"": 2, ""key"": {""connector"": 1, ""trading_pair"": 1, ""interval"": 1, ""timestamp"": 1}, ""name"": ""idx_connector_pair_interval_ts"", ""unique"": true}"
quants_lab,candles,idx_latest_ts,"connector:1, trading_pair:1, interval:1, timestamp:-1",False,False,False,,null,null,"{""v"": 2, ""key"": {""connector"": 1, ""trading_pair"": 1, ""interval"": 1, ""timestamp"": -1}, ""name"": ""idx_latest_ts""}"
quants_lab,candles,idx_pair_interval_ts,"trading_pair:1, interval:1, timestamp:1",False,False,False,,null,null,"{""v"": 2, ""key"": {""trading_pair"": 1, ""interval"": 1, ""timestamp"": 1}, ""name"": ""idx_pair_interval_ts""}"
quants_lab,market_trades,_id_,_id:1,False,False,False,,null,null,"{""v"": 2, ""key"": {""_id"": 1}, ""name"": ""_id_""}"
quants_lab,market_trades,idx_connector_pair_tradeid,"connector:1, trading_pair:1, trade_id:1",True,False,False,,null,null,"{""v"": 2, ""key"": {""connector"": 1, ""trading_pair"": 1, ""trade_id"": 1}, ""name"": ""idx_connector_pair_tradeid"", ""unique"": true}"
quants_lab,market_trades,idx_pair_timestamp_asc,"connector:1, trading_pair:1, timestamp:1",False,False,False,,null,null,"{""v"": 2, ""key"": {""connector"": 1, ""trading_pair"": 1, ""timestamp"": 1}, ""name"": ""idx_pair_timestamp_asc""}"
quants_lab,market_trades,idx_pair_timestampms_desc,"connector:1, trading_pair:1, timestampms:-1",False,False,False,,null,null,"{""v"": 2, ""key"": {""connector"": 1, ""trading_pair"": 1, ""timestampms"": -1}, ""name"": ""idx_pair_timestampms_desc""}"
quants_lab,symbol_metadata,_id_,_id:1,False,False,False,,null,null,"{""v"": 2, ""key"": {""_id"": 1}, ""name"": ""_id_""}"
quants_lab,symbol_metadata,idx_connector_pair,"connector:1, trading_pair:1",True,False,False,,null,null,"{""v"": 2, ""key"": {""connector"": 1, ""trading_pair"": 1}, ""name"": ""idx_connector_pair"", ""unique"": true}"
