database,collection,path,parent_path,depth,documents_scanned_for_schema,documents_with_field,presence_ratio_in_scan,observed_required_in_scan,occurrences,non_null_occurrences,types,examples,scan_mode,estimated_document_count
admin,system.users,_id,,0,1,1,1.0,True,1,1,string,"""admin.admin""",full,1
admin,system.users,credentials,,0,1,1,1.0,True,1,1,object,"{""SCRAM-SHA-1"": {""iterationCount"": 10000, ""salt"": ""7NaliXi2Wn5Ivkgb/1XS5Q=="", ""storedKey"": ""s77puzNwvzhD8Zv2MM3JB93EVBI="", ""serverKey"": ""Gmh0J2vEpWpXxrjq9X55IPxtJGs=""}, ""SCRAM-SHA-256"": {""iterationCount"": 15000, ""salt"": ""WmYSY1lZx+NZC0iw...",full,1
admin,system.users,credentials.SCRAM-SHA-1,credentials,1,1,1,1.0,True,1,1,object,"{""iterationCount"": 10000, ""salt"": ""7NaliXi2Wn5Ivkgb/1XS5Q=="", ""storedKey"": ""s77puzNwvzhD8Zv2MM3JB93EVBI="", ""serverKey"": ""Gmh0J2vEpWpXxrjq9X55IPxtJGs=""}",full,1
admin,system.users,credentials.SCRAM-SHA-1.iterationCount,credentials.SCRAM-SHA-1,2,1,1,1.0,True,1,1,int,10000,full,1
admin,system.users,credentials.SCRAM-SHA-1.salt,credentials.SCRAM-SHA-1,2,1,1,1.0,True,1,1,string,"""7NaliXi2Wn5Ivkgb/1XS5Q==""",full,1
admin,system.users,credentials.SCRAM-SHA-1.serverKey,credentials.SCRAM-SHA-1,2,1,1,1.0,True,1,1,string,"""Gmh0J2vEpWpXxrjq9X55IPxtJGs=""",full,1
admin,system.users,credentials.SCRAM-SHA-1.storedKey,credentials.SCRAM-SHA-1,2,1,1,1.0,True,1,1,string,"""s77puzNwvzhD8Zv2MM3JB93EVBI=""",full,1
admin,system.users,credentials.SCRAM-SHA-256,credentials,1,1,1,1.0,True,1,1,object,"{""iterationCount"": 15000, ""salt"": ""WmYSY1lZx+NZC0iwUKr+bGbEAKcx4bzLVtT1cQ=="", ""storedKey"": ""6z8tfXt/PBHz30PXC3a4hgVzeU2HYILlxM/llhF0JwI="", ""serverKey"": ""BFoRy94qcT5CYFdrIEsAi2TCPPUmhKj9RA37sLjLh9U=""}",full,1
admin,system.users,credentials.SCRAM-SHA-256.iterationCount,credentials.SCRAM-SHA-256,2,1,1,1.0,True,1,1,int,15000,full,1
admin,system.users,credentials.SCRAM-SHA-256.salt,credentials.SCRAM-SHA-256,2,1,1,1.0,True,1,1,string,"""WmYSY1lZx+NZC0iwUKr+bGbEAKcx4bzLVtT1cQ==""",full,1
admin,system.users,credentials.SCRAM-SHA-256.serverKey,credentials.SCRAM-SHA-256,2,1,1,1.0,True,1,1,string,"""BFoRy94qcT5CYFdrIEsAi2TCPPUmhKj9RA37sLjLh9U=""",full,1
admin,system.users,credentials.SCRAM-SHA-256.storedKey,credentials.SCRAM-SHA-256,2,1,1,1.0,True,1,1,string,"""6z8tfXt/PBHz30PXC3a4hgVzeU2HYILlxM/llhF0JwI=""",full,1
admin,system.users,db,,0,1,1,1.0,True,1,1,string,"""admin""",full,1
admin,system.users,roles,,0,1,1,1.0,True,1,1,array,"[{""role"": ""root"", ""db"": ""admin""}]",full,1
admin,system.users,roles[],roles,1,1,1,1.0,True,1,1,object,"{""role"": ""root"", ""db"": ""admin""}",full,1
admin,system.users,roles[].db,roles[],2,1,1,1.0,True,1,1,string,"""admin""",full,1
admin,system.users,roles[].role,roles[],2,1,1,1.0,True,1,1,string,"""root""",full,1
admin,system.users,user,,0,1,1,1.0,True,1,1,string,"""admin""",full,1
admin,system.users,userId,,0,1,1,1.0,True,1,1,bytes,"{""$binary"": {""base64"": ""4MbmB4zFSFyZQrGK6cfDaA=="", ""subType"": ""04""}}",full,1
admin,system.version,_id,,0,2,2,1.0,True,2,2,string,"""featureCompatibilityVersion"" || ""authSchema""",full,2
admin,system.version,currentVersion,,0,2,1,0.5,False,1,1,int,5,full,2
admin,system.version,version,,0,2,1,0.5,False,1,1,string,"""7.0""",full,2
local,startup_log,_id,,0,5,5,1.0,True,5,5,string,"""02f45e4d741e-1772486063935"" || ""02f45e4d741e-1772486066930"" || ""b12b5d1b86ac-1773113207713""",full,5
local,startup_log,buildinfo,,0,5,5,1.0,True,5,5,object,"{""version"": ""7.0.30"", ""gitVersion"": ""67480f41dfa5802ce14af5c95bd0e9826d3b2131"", ""modules"": [], ""allocator"": ""tcmalloc"", ""javascriptEngine"": ""mozjs"", ""sysInfo"": ""deprecated"", ""versionArray"": [7, 0, 30, 0], ""openssl"": {""running"": ""OpenSSL ...",full,5
local,startup_log,buildinfo.allocator,buildinfo,1,5,5,1.0,True,5,5,string,"""tcmalloc""",full,5
local,startup_log,buildinfo.bits,buildinfo,1,5,5,1.0,True,5,5,int,64,full,5
local,startup_log,buildinfo.buildEnvironment,buildinfo,1,5,5,1.0,True,5,5,object,"{""distmod"": ""ubuntu2204"", ""distarch"": ""x86_64"", ""cc"": ""/opt/mongodbtoolchain/v4/bin/gcc: gcc (GCC) 11.3.0"", ""ccflags"": ""-Werror -include mongo/platform/basic.h -ffp-contract=off -fasynchronous-unwind-tables -g2 -Wall -Wsign-compare -Wno-...",full,5
local,startup_log,buildinfo.buildEnvironment.cc,buildinfo.buildEnvironment,2,5,5,1.0,True,5,5,string,"""/opt/mongodbtoolchain/v4/bin/gcc: gcc (GCC) 11.3.0""",full,5
local,startup_log,buildinfo.buildEnvironment.ccflags,buildinfo.buildEnvironment,2,5,5,1.0,True,5,5,string,"""-Werror -include mongo/platform/basic.h -ffp-contract=off -fasynchronous-unwind-tables -g2 -Wall -Wsign-compare -Wno-unknown-pragmas -Winvalid-pch -gdwarf-5 -fno-omit-frame-pointer -fno-strict-aliasing -O2 -march=sandybridge -mtune=gene...",full,5
local,startup_log,buildinfo.buildEnvironment.cppdefines,buildinfo.buildEnvironment,2,5,5,1.0,True,5,5,string,"""SAFEINT_USE_INTRINSICS 0 PCRE2_STATIC NDEBUG _XOPEN_SOURCE 700 _GNU_SOURCE _FORTIFY_SOURCE 2 ABSL_FORCE_ALIGNED_ACCESS BOOST_ENABLE_ASSERT_DEBUG_HANDLER BOOST_FILESYSTEM_NO_CXX20_ATOMIC_REF BOOST_LOG_NO_SHORTHAND_NAMES BOOST_LOG_USE_NAT...",full,5
local,startup_log,buildinfo.buildEnvironment.cxx,buildinfo.buildEnvironment,2,5,5,1.0,True,5,5,string,"""/opt/mongodbtoolchain/v4/bin/g++: g++ (GCC) 11.3.0""",full,5
local,startup_log,buildinfo.buildEnvironment.cxxflags,buildinfo.buildEnvironment,2,5,5,1.0,True,5,5,string,"""-Woverloaded-virtual -Wpessimizing-move -Wno-maybe-uninitialized -fsized-deallocation -Wno-deprecated -std=c++20""",full,5
local,startup_log,buildinfo.buildEnvironment.distarch,buildinfo.buildEnvironment,2,5,5,1.0,True,5,5,string,"""x86_64""",full,5
local,startup_log,buildinfo.buildEnvironment.distmod,buildinfo.buildEnvironment,2,5,5,1.0,True,5,5,string,"""ubuntu2204""",full,5
local,startup_log,buildinfo.buildEnvironment.linkflags,buildinfo.buildEnvironment,2,5,5,1.0,True,5,5,string,"""-Wl,--fatal-warnings -B/opt/mongodbtoolchain/v4/bin -gdwarf-5 -pthread -Wl,-z,now -fuse-ld=lld -fstack-protector-strong -gdwarf64 -Wl,--build-id -Wl,--hash-style=gnu -Wl,-z,noexecstack -Wl,--warn-execstack -Wl,-z,relro -Wl,--compress-de...",full,5
local,startup_log,buildinfo.buildEnvironment.target_arch,buildinfo.buildEnvironment,2,5,5,1.0,True,5,5,string,"""x86_64""",full,5
local,startup_log,buildinfo.buildEnvironment.target_os,buildinfo.buildEnvironment,2,5,5,1.0,True,5,5,string,"""linux""",full,5
local,startup_log,buildinfo.debug,buildinfo,1,5,5,1.0,True,5,5,bool,false,full,5
local,startup_log,buildinfo.gitVersion,buildinfo,1,5,5,1.0,True,5,5,string,"""67480f41dfa5802ce14af5c95bd0e9826d3b2131""",full,5
local,startup_log,buildinfo.javascriptEngine,buildinfo,1,5,5,1.0,True,5,5,string,"""mozjs""",full,5
local,startup_log,buildinfo.maxBsonObjectSize,buildinfo,1,5,5,1.0,True,5,5,int,16777216,full,5
local,startup_log,buildinfo.modules,buildinfo,1,5,5,1.0,True,5,5,array,[],full,5
local,startup_log,buildinfo.openssl,buildinfo,1,5,5,1.0,True,5,5,object,"{""running"": ""OpenSSL 3.0.2 15 Mar 2022"", ""compiled"": ""OpenSSL 3.0.2 15 Mar 2022""}",full,5
local,startup_log,buildinfo.openssl.compiled,buildinfo.openssl,2,5,5,1.0,True,5,5,string,"""OpenSSL 3.0.2 15 Mar 2022""",full,5
local,startup_log,buildinfo.openssl.running,buildinfo.openssl,2,5,5,1.0,True,5,5,string,"""OpenSSL 3.0.2 15 Mar 2022""",full,5
local,startup_log,buildinfo.storageEngines,buildinfo,1,5,5,1.0,True,5,5,array,"[""devnull"", ""wiredTiger""]",full,5
local,startup_log,buildinfo.storageEngines[],buildinfo.storageEngines,2,5,5,1.0,True,10,10,string,"""devnull"" || ""wiredTiger""",full,5
local,startup_log,buildinfo.sysInfo,buildinfo,1,5,5,1.0,True,5,5,string,"""deprecated""",full,5
local,startup_log,buildinfo.version,buildinfo,1,5,5,1.0,True,5,5,string,"""7.0.30""",full,5
