symbol,session,n_probes,n_miss,max_n,has_min_month_file,has_session_bars,has_regular_bars,prior_close,prior_adv,has_quote_month_file,daily_eligible,first_trade_et,category
AACI,2025-08-27,10,7,2,1,1,1,10.29,2386781.0,1,1,13:54,intra_session_sparse
AAL,2025-08-27,10,0,376,1,1,1,13.15,800627544.0,1,1,04:00,intra_session_sparse
AAOI,2025-08-27,10,10,0,0,0,0,25.07,130641038.0,0,0,,no_minute_file
AARD,2025-08-27,10,2,98,1,1,1,9.53,644814.0,1,0,09:30,intra_session_sparse
AAUC,2025-08-27,10,0,94,1,1,1,13.89,2374141.0,1,1,08:00,intra_session_sparse
ABAT,2025-08-27,10,0,364,1,1,1,2.75,11738908.0,1,1,04:02,intra_session_sparse
ABCL,2025-08-27,10,0,360,1,1,1,4.37,23164297.0,1,1,04:02,intra_session_sparse
ABEO,2025-08-27,10,2,260,1,1,1,7.11,4846097.0,1,1,09:30,intra_session_sparse
ABEV,2025-08-27,10,0,376,1,1,1,2.2,57866857.0,1,1,04:44,intra_session_sparse
ABOS,2025-08-27,10,2,148,1,1,1,1.46,370025.0,1,0,07:10,intra_session_sparse
ABSI,2025-08-27,10,0,356,1,1,1,2.55,13978343.0,1,1,04:00,intra_session_sparse
ABTC,2025-08-27,10,0,310,1,1,1,6.2,6294225.0,1,1,04:03,intra_session_sparse
ABTS,2025-08-27,10,10,0,0,0,0,3.83,54143.0,0,0,,no_minute_file
ABUS,2025-08-27,10,0,298,1,1,1,3.65,2842207.0,1,1,08:58,intra_session_sparse
ABX,2025-08-27,10,1,245,1,1,1,6.97,4184831.0,1,1,09:30,intra_session_sparse
ACB,2025-08-27,10,0,287,1,1,1,5.3,9919401.0,1,1,08:00,intra_session_sparse
ACCL,2025-08-27,10,10,0,0,0,0,,,0,0,,no_daily_history
ACCO,2025-08-27,10,1,231,1,1,1,3.92,2245999.0,1,1,07:00,intra_session_sparse
ACDC,2025-08-27,10,0,332,1,1,1,4.03,9031034.0,1,1,08:00,intra_session_sparse
ACEL,2025-08-27,10,2,167,1,1,1,11.48,5107403.0,1,1,09:30,intra_session_sparse
ACET,2025-08-27,10,1,164,1,1,1,11.79,453872.0,1,0,06:46,intra_session_sparse
ACH,2025-08-27,10,0,351,1,1,1,5.01,11481014.0,1,1,09:05,intra_session_sparse
ACHC,2025-08-27,10,10,0,1,0,0,21.55,52272030.0,1,0,,no_session_bars_has_month_file
ACHR,2025-08-27,10,0,376,1,1,1,9.27,279430120.0,1,1,04:00,intra_session_sparse
ACHV,2025-08-27,10,0,331,1,1,1,3.12,3053330.0,1,1,04:07,intra_session_sparse
ACI,2025-08-27,10,0,376,1,1,1,19.4,105416255.0,1,1,08:17,intra_session_sparse
